timestamps,TP9,AF7,AF8,TP10,Right AUX
1620953423.132,15.137,25.391,35.156,31.250,0.977
1620953423.136,13.672,23.926,29.297,28.320,-17.578
1620953423.140,19.531,25.391,35.156,31.738,23.926
1620953423.144,31.250,24.902,38.086,30.273,88.379
1620953423.148,44.922,25.879,40.527,30.273,-11.230
1620953423.152,52.246,35.156,38.086,25.391,-55.176
1620953423.156,42.969,39.062,44.922,26.855,0.977
1620953423.159,15.625,28.809,48.828,24.902,26.855
1620953423.163,13.184,33.203,43.457,33.691,17.090
1620953423.167,16.113,45.410,34.180,39.062,0.977
1620953423.171,14.160,36.621,29.785,29.297,16.602
1620953423.175,20.996,36.621,39.551,36.133,45.410
1620953423.188,25.391,47.363,42.969,35.645,36.133
1620953423.192,25.879,41.016,39.062,28.809,44.434
1620953423.196,28.809,35.156,46.387,27.832,47.363
1620953423.200,27.344,41.016,49.316,25.879,-9.766
1620953423.204,34.668,38.086,41.992,25.391,13.184
1620953423.208,39.551,34.180,42.969,24.902,37.598
1620953423.212,32.227,41.016,43.457,21.973,-13.672
1620953423.215,26.855,41.016,48.828,19.531,-22.949
1620953423.219,17.090,28.809,47.363,12.207,5.859
1620953423.223,16.113,28.320,44.434,20.996,-3.418
1620953423.227,11.230,29.297,39.551,17.090,-14.648
1620953423.231,4.395,28.320,33.203,-1.953,19.043
1620953423.225,24.414,31.738,40.039,12.695,23.926
1620953423.229,34.668,30.273,41.992,26.367,0.977
1620953423.233,39.551,31.250,38.086,39.551,29.297
1620953423.237,35.156,30.273,37.109,38.574,12.207
1620953423.241,21.973,27.832,36.133,15.137,65.918
1620953423.245,39.062,37.109,43.945,30.762,87.402
1620953423.249,62.500,46.875,53.223,61.035,17.578
1620953423.252,51.270,35.156,47.363,48.340,13.672
1620953423.256,30.762,25.879,41.504,29.785,65.918
1620953423.260,22.949,27.832,40.527,30.762,48.340
1620953423.264,21.484,22.461,38.086,23.926,-41.504
1620953423.268,33.691,26.367,40.039,20.508,2.441
1620953423.282,42.969,38.086,46.387,23.438,30.762
1620953423.286,19.043,38.574,41.504,16.602,36.621
1620953423.290,10.742,40.527,40.039,26.855,47.363
1620953423.294,21.973,38.086,41.016,21.973,65.430
1620953423.298,18.066,39.551,41.992,15.137,50.781
1620953423.302,23.926,42.480,43.945,26.855,45.898
1620953423.306,20.508,37.598,36.133,29.297,44.434
