timestamps,TP9,AF7,AF8,TP10,Right AUX
1620953181.725,8.789,32.227,45.410,26.855,-53.223
1620953181.729,15.137,30.273,49.316,19.043,-5.371
1620953181.733,25.391,25.391,50.293,14.648,12.207
1620953181.737,40.527,30.762,52.246,30.762,4.395
1620953181.741,34.180,39.551,50.781,39.062,44.922
1620953181.745,27.832,41.992,51.270,30.273,32.715
1620953181.749,36.133,43.945,57.617,21.973,-17.578
1620953181.752,32.715,43.457,55.176,22.461,59.570
1620953181.756,31.250,41.992,47.852,25.879,85.449
1620953181.760,27.832,45.410,46.387,22.461,-13.672
1620953181.764,33.691,44.434,49.316,11.719,37.109
1620953181.768,24.414,42.480,46.387,18.555,79.590
1620953181.770,14.160,43.457,43.945,13.184,-23.926
1620953181.774,21.973,42.480,40.527,13.184,2.930
1620953181.778,19.531,42.969,40.039,11.230,82.520
1620953181.782,3.906,41.992,41.504,9.766,19.531
1620953181.786,6.348,44.922,38.086,5.371,-10.254
1620953181.789,2.441,44.922,36.621,3.906,16.602
1620953181.793,-0.488,43.945,39.062,13.184,-30.273
1620953181.797,-0.977,45.410,39.551,17.578,6.836
1620953181.801,-1.953,41.992,39.062,10.742,32.715
1620953181.805,-3.418,41.504,33.691,6.348,-19.043
1620953181.818,6.348,38.086,32.715,16.113,-71.777
1620953181.822,15.625,36.621,36.621,28.320,-5.859
1620953181.826,23.926,37.109,37.598,19.531,55.664
1620953181.830,30.273,38.086,40.527,13.672,59.570
1620953181.834,31.250,38.086,34.180,20.020,11.230
1620953181.838,31.250,36.133,32.227,19.043,-14.160
1620953181.842,27.832,35.645,38.574,20.020,17.090
1620953181.845,24.902,39.062,36.133,15.625,21.973
1620953181.849,30.762,38.086,35.156,10.254,40.527
1620953181.853,45.898,35.645,35.156,20.996,31.738
1620953181.857,50.781,39.062,36.133,21.484,45.410
1620953181.861,33.691,41.016,37.598,11.719,55.176
1620953181.857,28.809,35.156,37.109,13.184,59.570
1620953181.861,36.133,30.273,37.598,22.949,63.965
1620953181.865,34.180,35.156,38.086,24.902,23.438
1620953181.869,5.859,36.621,38.574,16.602,-34.180
1620953181.873,-6.836,34.668,33.691,9.277,-26.367
1620953181.877,16.602,40.527,30.273,8.789,0.000
1620953181.881,19.531,45.410,31.250,12.207,-46.387
1620953181.884,1.465,44.922,29.785,11.719,-20.508
