timestamps,TP9,AF7,AF8,TP10,Right AUX
1621556150.817,-0.977,34.180,39.062,-4.395,63.965
1621556150.821,10.742,33.203,38.574,1.465,70.801
1621556150.825,14.648,36.621,41.016,2.441,48.828
1621556150.829,14.160,39.551,42.480,-4.395,19.531
1621556150.833,17.578,38.086,41.016,-4.395,-20.020
1621556150.837,19.043,35.156,42.969,0.488,7.812
1621556150.841,14.648,32.227,45.410,-0.488,17.090
1621556150.844,20.020,31.738,44.434,-5.371,4.883
1621556150.848,11.230,31.738,43.945,0.977,9.766
1621556150.852,-3.906,29.785,45.410,11.719,-3.418
1621556150.856,8.789,29.785,42.969,13.184,-12.695
1621556150.860,23.926,33.203,42.480,10.742,33.203
1621556150.862,34.180,38.574,47.852,45.898,-14.648
1621556150.865,27.344,41.016,48.828,45.898,37.598
1621556150.869,23.438,38.086,47.852,36.133,-3.418
1621556150.873,30.273,39.551,48.828,38.086,-5.859
1621556150.877,35.645,43.457,48.828,45.410,7.812
1621556150.881,31.250,41.504,47.363,30.762,41.504
1621556150.893,23.438,38.086,44.922,15.625,28.809
1621556150.897,15.137,35.645,42.969,7.812,10.742
1621556150.901,8.789,33.691,40.527,4.883,22.949
1621556150.905,12.695,35.156,40.527,12.695,41.016
1621556150.909,16.113,37.598,44.434,14.648,20.508
1621556150.913,7.324,35.645,46.875,9.766,-3.906
1621556150.917,11.719,34.180,44.922,15.625,-4.883
1621556150.920,20.508,33.691,42.480,21.973,-24.414
1621556150.924,18.066,32.227,43.457,21.973,-8.789
1621556150.928,23.926,33.691,44.922,18.066,-9.766
1621556150.932,25.879,36.621,46.387,19.531,54.199
1621556150.936,26.855,36.133,42.969,30.273,66.895
1621556150.949,32.227,35.645,40.527,27.832,34.180
1621556150.953,37.109,36.621,40.039,16.113,79.590
1621556150.957,34.668,38.086,38.086,17.090,78.125
1621556150.961,27.832,39.551,38.086,24.902,3.418
1621556150.965,25.879,33.203,38.086,23.438,12.207
1621556150.969,22.461,32.227,37.109,15.625,-3.418
1621556150.973,24.902,38.086,37.109,16.113,2.930
1621556150.976,28.809,37.598,34.668,25.391,52.734
1621556150.980,31.738,37.109,26.367,32.227,43.457
1621556150.984,22.949,35.645,35.156,32.227,37.598
1621556150.988,-2.930,31.250,45.898,18.066,25.879
1621556150.992,-7.812,24.902,47.363,17.090,8.789
1621556150.968,-6.836,20.020,49.316,21.484,0.977
1621556150.972,-8.789,23.438,47.363,5.371,26.855
1621556150.976,-10.254,23.926,44.434,-3.906,31.738
1621556150.980,-22.461,20.508,40.527,-7.812,-15.137
1621556150.984,-11.230,20.996,42.480,0.977,-32.715
1621556150.988,4.883,27.344,44.434,14.160,-24.414
1621556150.992,8.301,31.738,43.457,9.766,23.438
1621556150.995,11.719,29.785,42.969,9.766,55.176
1621556150.999,18.555,31.738,45.410,24.414,-4.395
1621556151.003,26.855,31.738,45.898,28.809,1.465
1621556151.007,15.625,30.273,44.922,19.043,-29.297
1621556151.011,10.742,32.715,44.922,18.555,-13.184
1621556151.024,22.949,33.691,42.969,24.414,23.926
1621556151.028,28.320,31.250,44.434,26.855,63.477
1621556151.032,28.320,26.855,44.434,20.020,82.520
1621556151.036,27.344,23.926,42.969,19.531,-7.324
1621556151.040,38.574,27.832,41.992,24.902,-35.645
1621556151.044,38.086,32.227,41.992,28.809,15.625
1621556151.048,24.414,32.227,42.969,30.273,54.199
1621556151.051,18.555,30.762,44.922,29.785,46.387
1621556151.055,21.973,30.762,43.945,33.691,81.055
1621556151.059,31.250,34.180,40.527,40.039,38.086
1621556151.063,40.039,35.645,41.504,41.992,-1.465
1621556151.067,34.180,34.668,38.086,39.551,57.129
1621556151.079,19.531,34.668,33.691,36.621,24.414
1621556151.083,18.066,35.156,35.156,40.527,55.664
1621556151.087,19.043,36.133,37.598,41.016,66.895
