timestamps,TP9,AF7,AF8,TP10,Right AUX
1621557100.800,49.805,36.133,32.715,36.621,32.715
1621557100.804,41.016,35.645,33.691,32.227,4.883
1621557100.808,37.598,39.551,29.785,28.809,26.367
1621557100.812,36.133,35.156,28.320,33.203,-11.230
1621557100.816,37.598,30.273,34.668,41.016,48.828
1621557100.820,35.156,33.203,37.109,35.645,56.641
1621557100.824,26.855,28.320,34.180,33.203,-24.902
1621557100.827,27.344,28.809,34.668,39.551,-40.527
1621557100.831,26.367,31.250,36.133,39.062,29.785
1621557100.835,20.508,32.227,34.668,35.156,34.668
1621557100.839,20.996,30.273,35.156,36.621,69.336
1621557100.843,24.902,27.832,34.668,37.598,95.703
1621557100.843,24.902,27.832,34.668,37.598,95.703
1621557100.873,22.461,29.297,30.273,26.367,25.391
1621557100.877,24.902,33.691,28.320,15.137,-0.977
1621557100.881,23.438,34.180,27.832,7.324,0.000
1621557100.885,19.531,33.691,26.367,3.418,69.336
1621557100.889,22.461,30.273,24.414,1.465,27.344
1621557100.893,23.926,25.879,26.855,2.930,4.395
1621557100.897,17.578,28.320,27.832,5.371,17.578
1621557100.900,9.766,26.367,30.273,6.836,13.672
1621557100.904,5.371,23.926,32.227,14.648,11.719
1621557100.908,6.348,23.926,32.715,20.508,2.930
1621557100.912,9.766,22.461,35.156,21.973,3.418
1621557100.916,11.719,20.508,36.133,23.438,-5.859
1621557100.911,20.996,24.414,38.574,29.297,15.137
1621557100.915,26.367,28.320,37.109,30.762,31.250
1621557100.919,24.414,22.949,36.621,29.785,-32.715
1621557100.923,30.273,21.484,38.086,33.691,-14.160
1621557100.927,38.086,25.391,35.156,39.551,8.789
1621557100.931,44.922,31.250,35.645,45.898,17.578
1621557100.935,46.875,32.227,35.645,44.434,60.059
1621557100.938,49.805,35.156,34.668,39.062,40.039
1621557100.942,51.270,37.598,34.180,38.574,41.504
1621557100.946,44.922,35.156,37.109,39.062,56.152
1621557100.950,39.062,36.133,39.062,35.156,60.059
1621557100.954,37.598,38.086,40.039,27.832,46.387
1621557100.949,34.180,36.133,40.527,23.438,-33.691
1621557100.953,37.109,37.598,42.480,26.855,-40.527
1621557100.957,42.480,39.062,46.387,26.855,-17.090
1621557100.961,35.156,36.133,44.434,19.531,15.137
1621557100.965,29.785,37.598,40.039,11.719,51.758
1621557100.969,29.297,39.062,38.086,5.859,25.391
