timestamps,TP9,AF7,AF8,TP10,Right AUX
1621557624.656,23.926,6.348,27.344,36.621,-23.926
1621557624.660,22.461,12.207,25.391,41.504,2.441
1621557624.664,29.785,15.137,28.320,38.086,40.527
1621557624.668,36.621,11.719,28.320,40.527,49.805
1621557624.672,36.621,11.719,27.832,39.062,57.617
1621557624.676,43.457,7.324,28.320,41.504,71.289
1621557624.680,39.062,4.883,31.250,44.922,68.848
1621557624.683,25.391,10.254,30.762,40.039,5.859
1621557624.687,20.508,12.695,30.273,33.203,-62.988
1621557624.691,34.180,7.324,34.668,37.598,-29.785
1621557624.695,43.457,11.230,33.203,38.574,2.441
1621557624.699,41.992,13.184,29.297,39.551,21.973
1621557624.712,37.109,11.230,31.250,41.016,71.777
1621557624.716,26.367,10.254,33.691,40.527,13.184
1621557624.720,32.227,5.859,34.668,44.922,1.953
1621557624.724,37.109,2.441,34.180,33.203,65.430
1621557624.728,31.250,4.395,30.762,25.391,74.219
1621557624.732,26.367,9.766,30.273,32.227,-10.254
1621557624.736,27.832,9.277,31.738,25.879,-28.320
1621557624.739,31.250,10.742,31.738,19.531,42.480
1621557624.743,37.598,11.719,34.668,14.160,-8.301
1621557624.747,41.504,9.277,31.738,5.859,-36.621
1621557624.751,39.551,5.859,27.344,11.230,-24.414
1621557624.755,40.039,9.766,27.832,18.555,40.527
1621557624.751,44.922,13.184,25.879,19.531,95.703
1621557624.755,41.504,10.254,28.320,31.738,92.285
1621557624.759,43.457,8.789,29.297,38.086,58.594
1621557624.763,49.805,10.742,27.344,42.480,-2.930
1621557624.767,45.898,6.836,29.785,50.293,37.109
1621557624.771,38.086,6.836,30.273,46.875,41.504
1621557624.775,30.273,11.719,29.785,40.039,33.691
1621557624.778,23.438,9.766,28.320,38.574,20.020
1621557624.782,30.762,7.812,26.855,32.715,8.301
1621557624.786,26.367,1.465,29.785,36.133,59.082
1621557624.790,14.160,0.000,27.344,43.457,20.020
1621557624.794,21.484,5.859,22.461,41.992,2.930
1621557624.807,25.879,5.859,20.996,42.480,33.691
1621557624.811,20.508,6.836,21.484,35.645,4.883
1621557624.815,29.297,7.812,23.438,36.621,37.598
1621557624.819,49.316,8.789,26.367,41.992,84.473
1621557624.823,53.223,12.695,24.902,35.156,9.277
1621557624.827,43.457,18.555,19.531,28.809,-25.391
1621557624.831,34.668,14.648,18.066,19.531,21.484
1621557624.834,28.809,11.230,18.066,20.020,41.992
1621557624.838,29.297,12.695,18.066,21.484,32.715
1621557624.842,35.645,11.230,16.602,6.836,57.129
1621557624.846,48.828,11.230,14.648,-4.883,41.016
1621557624.850,56.152,11.230,16.113,3.418,-2.441
1621557624.844,33.203,12.207,20.020,18.555,51.758
1621557624.848,21.973,7.324,25.391,26.367,60.547
1621557624.852,33.691,5.859,26.367,26.367,32.715
1621557624.856,31.738,6.836,27.344,28.320,36.133
1621557624.860,27.344,2.930,26.855,32.715,44.922
1621557624.864,32.715,5.859,25.879,37.109,27.832
1621557624.868,34.180,6.836,25.879,38.086,24.902
1621557624.871,24.414,4.883,22.461,38.086,34.180
1621557624.875,19.531,3.906,21.973,29.785,30.273
1621557624.879,18.555,0.488,24.902,33.203,38.574
1621557624.883,13.672,0.977,24.414,38.574,12.695
1621557624.887,13.672,-2.441,24.902,35.156,-35.156
1621557624.919,17.578,-5.371,26.367,36.133,24.414
1621557624.923,15.137,-4.883,27.344,34.180,56.152
1621557624.927,11.719,-2.441,29.297,39.062,7.812
1621557624.931,16.602,-1.465,26.855,37.109,50.781
1621557624.935,18.066,-1.953,22.949,31.738,53.711
1621557624.939,23.438,1.465,24.414,37.109,49.805
1621557624.943,36.133,3.906,27.832,36.621,65.918
1621557624.946,41.504,0.977,27.832,31.738,44.434
1621557624.950,40.039,8.789,22.949,27.344,7.812
1621557624.954,49.316,14.160,16.602,22.949,54.688
1621557624.958,64.453,9.277,14.160,21.484,60.547
1621557624.962,51.270,6.836,15.625,16.113,-64.453
1621557624.939,52.246,12.207,10.254,12.207,10.742
1621557624.943,44.922,17.578,6.836,8.789,20.996
1621557624.947,31.738,7.812,6.836,10.254,-20.020
1621557624.951,31.738,3.906,9.277,21.484,44.434
1621557624.955,24.902,8.789,13.184,21.484,20.020
1621557624.959,23.926,8.301,13.184,20.996,-23.926
1621557624.963,15.625,5.371,14.648,35.645,-10.742
1621557624.966,12.695,5.859,17.578,39.551,83.984
1621557624.970,22.949,8.301,19.531,37.109,78.613
1621557624.974,22.461,4.395,19.043,34.668,23.438
1621557624.978,21.973,2.930,18.066,40.527,31.250
1621557624.982,22.949,4.883,21.484,41.992,-3.418
1621557624.994,17.578,0.488,22.949,35.156,-52.734
1621557624.998,22.949,-0.488,22.461,39.551,27.344
1621557625.002,22.949,2.930,20.996,40.039,50.781
1621557625.006,13.672,1.953,17.578,37.598,-5.859
1621557625.010,6.836,1.465,17.090,32.715,-17.090
1621557625.014,20.508,-1.465,17.578,31.250,7.324
1621557625.018,39.551,2.930,18.555,39.551,-6.348
1621557625.021,41.992,8.789,16.602,37.109,4.395
1621557625.025,33.203,3.418,11.719,31.738,76.172
1621557625.029,26.367,2.930,10.742,28.320,83.496
1621557625.033,35.645,3.418,11.719,28.320,46.387
1621557625.037,47.852,12.695,14.160,28.320,80.078
1621557625.031,38.574,21.973,11.230,17.090,68.848
