timestamps,TP9,AF7,AF8,TP10,Right AUX
1621558099.128,24.902,37.109,22.461,21.484,41.992
1621558099.132,24.902,34.180,25.391,26.367,31.738
1621558099.136,26.367,32.227,26.367,21.973,2.930
1621558099.140,28.809,34.180,24.902,20.508,30.762
1621558099.144,35.156,33.691,26.367,28.809,19.043
1621558099.148,34.668,31.738,24.414,30.273,84.961
1621558099.152,32.715,31.738,24.902,30.762,18.555
1621558099.155,29.785,32.715,28.809,33.203,-64.941
1621558099.159,20.996,33.691,27.832,33.691,21.484
1621558099.163,11.719,29.297,28.809,36.133,16.602
1621558099.167,12.695,28.320,27.832,37.598,14.160
1621558099.171,18.066,31.250,28.809,34.668,-22.461
1621558099.172,31.250,30.273,30.273,34.180,20.508
1621558099.176,31.738,32.227,33.691,35.156,41.016
1621558099.180,35.156,33.203,36.133,37.109,38.574
1621558099.184,39.062,32.715,32.227,34.668,-46.875
1621558099.188,42.969,32.227,33.691,41.016,-32.715
1621558099.191,46.875,33.203,30.273,40.527,33.691
1621558099.195,50.781,31.738,24.414,37.109,59.082
1621558099.199,62.012,32.715,27.344,42.480,43.945
1621558099.203,55.664,31.250,29.785,36.621,-18.555
1621558099.207,44.922,24.902,33.691,34.180,-14.648
1621558099.257,46.875,24.414,37.109,31.738,-8.301
1621558099.261,43.457,30.762,29.297,20.996,7.324
1621558099.265,41.992,35.156,26.855,22.461,25.879
1621558099.269,41.992,35.645,29.785,25.391,5.371
1621558099.273,33.691,30.762,31.250,26.367,53.711
1621558099.277,27.344,26.855,32.715,30.762,62.500
1621558099.281,21.973,27.344,35.156,34.668,37.598
1621558099.284,17.578,27.832,38.574,35.645,23.438
1621558099.288,15.625,26.367,36.133,39.551,-7.812
1621558099.292,17.090,24.902,35.156,46.875,29.297
1621558099.296,13.184,27.344,31.738,49.805,52.246
1621558099.300,20.020,31.250,30.762,53.711,98.633
1621558099.276,27.344,30.273,34.668,62.988,141.113
1621558099.280,27.832,29.297,35.156,65.918,117.188
1621558099.284,28.809,30.273,33.203,65.430,137.695
1621558099.288,28.809,31.738,33.203,73.730,110.840
1621558099.292,33.203,34.180,33.203,77.148,13.184
1621558099.296,38.574,34.180,29.785,76.172,-1.465
1621558099.300,42.969,34.668,24.414,79.102,42.969
1621558099.303,47.363,37.109,25.879,87.891,37.109
1621558099.307,46.875,35.645,27.832,99.121,-1.465
1621558099.311,43.945,30.273,27.832,103.516,23.926
1621558099.315,40.527,30.762,30.762,100.098,41.992
1621558099.319,40.039,29.297,28.320,101.562,17.578
1621558099.314,42.480,28.320,26.855,103.027,2.441
1621558099.318,41.992,27.344,30.273,98.633,63.965
1621558099.322,38.086,29.785,30.762,92.773,55.176
1621558099.326,35.156,34.668,30.762,90.332,16.602
1621558099.330,35.645,32.715,28.809,90.332,2.930
1621558099.334,34.668,30.762,27.832,87.891,-2.930
1621558099.338,34.668,31.250,29.785,87.891,24.902
1621558099.341,31.250,32.227,30.273,81.543,-10.742
1621558099.345,25.391,28.809,32.715,75.684,12.695
1621558099.349,21.484,25.391,35.156,72.754,47.852
1621558099.353,15.137,26.367,32.715,58.105,44.922
1621558099.357,8.301,23.438,32.715,46.875,57.617
1621558099.351,13.184,22.461,36.621,50.293,12.695
1621558099.355,18.555,23.438,32.715,49.805,3.906
1621558099.359,17.578,21.973,30.273,42.969,9.277
1621558099.363,23.926,24.414,36.133,41.504,-5.371
1621558099.367,31.250,28.320,34.668,34.180,14.160
1621558099.371,32.715,29.785,30.273,22.949,5.371
1621558099.375,33.203,31.738,29.785,18.066,21.484
1621558099.378,35.156,34.180,28.320,11.230,11.719
1621558099.382,36.621,29.297,25.391,3.906,-25.879
1621558099.386,34.180,26.367,24.414,6.836,23.438
1621558099.390,33.691,30.273,22.949,6.836,84.961
1621558099.394,35.156,28.809,21.973,0.488,1.465
1621558099.407,35.156,27.832,20.508,-7.324,-20.020
1621558099.411,37.598,32.227,18.555,-7.812,18.555
1621558099.415,41.016,32.227,20.996,0.000,1.465
1621558099.419,36.621,33.691,22.949,-3.418,6.836
1621558099.423,29.785,30.762,22.949,-10.254,52.246
1621558099.427,28.320,27.832,24.414,-9.766,47.852
1621558099.431,28.809,28.320,22.461,-8.789,10.742
1621558099.434,30.762,28.809,19.531,-11.719,69.824
1621558099.438,30.762,29.785,21.484,-15.625,82.031
1621558099.442,30.762,32.227,23.926,-11.230,37.109
1621558099.446,30.762,28.809,24.902,-2.930,3.418
1621558099.450,33.203,27.344,27.832,3.418,-8.789
1621558099.445,31.738,27.344,28.320,-0.977,-60.547
1621558099.449,22.461,21.973,29.297,-4.395,-53.711
1621558099.453,20.508,23.926,33.691,2.441,-1.953
1621558099.457,17.578,27.832,35.156,7.812,-25.391
1621558099.461,12.207,26.855,35.645,15.137,22.949
1621558099.465,16.113,25.391,38.086,21.973,10.742
1621558099.469,21.484,26.367,38.086,25.391,-16.113
1621558099.472,24.902,29.785,32.715,23.926,-0.488
1621558099.476,30.273,29.297,31.738,19.043,0.488
1621558099.480,31.250,29.785,31.738,16.113,31.738
1621558099.484,31.250,35.156,28.809,12.207,-7.324
1621558099.488,43.457,36.621,29.785,14.648,-23.926
1621558099.501,50.293,34.668,29.297,7.324,7.324
1621558099.505,43.457,33.203,26.367,0.000,50.293
1621558099.509,43.457,35.156,25.879,0.488,66.406
1621558099.513,48.828,38.086,30.762,1.953,16.602
1621558099.517,49.316,37.598,35.156,4.883,-38.086
1621558099.521,41.992,36.133,33.203,-0.977,0.000
1621558099.525,35.156,34.668,31.738,0.488,99.121
1621558099.528,34.180,34.180,31.250,7.324,67.383
1621558099.532,35.156,33.203,31.738,12.207,30.762
1621558099.536,37.109,35.645,33.203,13.672,33.691
1621558099.540,36.133,35.645,30.762,10.254,17.090
1621558099.544,32.715,32.227,31.250,6.836,-6.836
