timestamps,TP9,AF7,AF8,TP10,Right AUX
1620953926.008,24.902,28.809,34.668,41.992,53.711
1620953926.012,19.043,25.391,35.645,35.156,4.883
1620953926.016,21.484,25.879,41.016,38.574,-10.742
1620953926.020,25.391,26.367,44.434,50.293,-2.930
1620953926.024,22.949,22.949,30.762,37.598,8.301
1620953926.028,16.113,22.949,33.203,23.438,2.441
1620953926.032,12.207,24.902,40.039,25.879,-41.992
1620953926.035,13.672,25.879,33.691,21.973,2.930
1620953926.039,18.066,27.344,33.203,24.902,40.039
1620953926.043,23.926,30.762,28.809,22.949,12.207
1620953926.047,15.137,34.668,24.902,16.602,21.484
1620953926.051,15.137,35.156,30.762,28.320,20.020
1620953926.054,13.672,22.949,33.203,13.672,79.102
1620953926.058,30.762,26.367,23.438,20.996,63.477
1620953926.062,50.781,30.762,22.461,41.016,74.219
1620953926.066,27.344,25.391,32.715,24.414,57.617
1620953926.070,-1.465,26.367,35.156,-4.395,49.316
1620953926.073,8.301,29.297,34.668,12.695,27.344
1620953926.077,14.648,21.973,29.297,32.715,-18.066
1620953926.081,10.254,13.184,30.273,29.785,-5.859
1620953926.085,8.789,14.160,40.039,22.461,48.340
1620953926.089,13.672,22.949,37.109,22.949,77.637
1620953926.102,19.043,25.879,36.621,27.832,75.684
1620953926.106,31.250,28.320,34.668,28.809,9.277
1620953926.110,32.227,26.855,29.785,18.555,-47.852
1620953926.114,11.230,22.461,32.715,15.137,-2.930
1620953926.118,7.324,22.949,33.691,28.809,-3.906
1620953926.122,9.277,26.367,34.180,38.574,18.066
1620953926.126,6.348,22.461,33.691,32.227,12.695
1620953926.129,6.836,23.926,31.738,21.484,-9.766
1620953926.133,1.465,28.320,32.715,29.785,51.758
1620953926.137,4.883,25.391,34.180,35.645,84.961
1620953926.141,10.254,22.949,38.086,35.156,37.109
1620953926.145,17.578,27.344,33.203,41.016,7.324
1620953926.140,21.973,31.738,30.273,38.574,39.551
1620953926.144,14.160,32.227,40.527,33.203,66.895
1620953926.148,16.113,34.668,42.480,33.691,20.020
1620953926.152,12.207,35.645,33.691,27.344,15.625
1620953926.156,16.113,33.691,34.668,23.926,28.320
1620953926.160,24.902,26.855,38.574,26.367,14.160
1620953926.164,16.602,25.879,30.273,28.320,30.273
1620953926.167,16.602,31.250,32.227,24.414,51.758
1620953926.171,20.020,31.738,30.762,16.113,28.320
1620953926.175,29.297,29.297,30.762,23.926,-27.832
1620953926.179,35.156,29.785,33.691,32.227,42.969
1620953926.183,27.832,30.273,27.344,22.949,73.730
1620953926.178,29.785,29.785,29.785,22.461,-0.977
1620953926.182,28.320,34.668,31.738,20.508,-13.184
1620953926.186,27.344,36.621,26.367,26.855,32.715
1620953926.190,31.250,31.250,26.367,31.738,48.340
1620953926.194,27.832,25.391,27.344,13.672,46.387
1620953926.198,37.109,27.344,28.809,14.648,19.531
1620953926.202,41.504,35.156,39.062,31.250,17.090
1620953926.205,29.785,31.738,42.969,38.086,19.531
1620953926.209,16.602,29.297,36.621,35.156,15.137
1620953926.213,5.859,33.203,29.785,24.414,26.367
1620953926.217,18.555,33.691,24.414,26.855,30.762
1620953926.221,16.602,34.180,21.484,32.715,-12.207
1620953926.235,-6.348,34.180,20.996,24.902,-12.695
1620953926.239,1.465,24.414,26.855,20.020,33.691
1620953926.243,18.066,26.855,33.203,23.926,1.953
1620953926.247,20.996,29.785,29.785,31.738,-41.016
1620953926.251,20.996,24.902,30.273,29.785,-31.250
1620953926.255,15.625,27.832,32.715,23.438,6.348
1620953926.259,22.461,24.414,31.250,27.344,42.969
1620953926.262,38.574,23.926,29.297,33.691,0.488
1620953926.266,30.762,26.367,29.785,32.227,32.715
1620953926.270,20.508,26.855,30.762,33.203,97.168
1620953926.274,18.066,24.902,29.785,28.320,129.395
1620953926.278,22.949,22.461,27.344,21.484,52.734
1620953926.290,17.090,27.344,22.949,19.043,-5.859
1620953926.294,13.184,21.973,27.344,15.137,17.090
1620953926.298,17.090,20.508,32.715,12.695,-23.438
1620953926.302,34.180,25.879,28.809,27.344,34.180
1620953926.306,49.316,30.762,32.715,46.875,28.809
1620953926.310,17.090,33.691,36.621,22.461,-20.508
1620953926.314,0.000,26.855,35.645,-1.953,6.836
1620953926.317,13.672,23.926,40.527,16.113,34.180
1620953926.321,25.879,22.949,41.016,33.203,24.902
1620953926.325,33.691,15.625,42.969,27.832,53.711
1620953926.329,20.020,25.391,39.551,16.602,52.734
1620953926.333,5.859,31.738,35.645,16.602,-24.414
1620953926.328,1.465,20.020,39.551,32.715,22.461
1620953926.332,15.137,25.391,35.645,40.039,111.816
1620953926.336,20.996,31.250,32.227,22.461,45.898
1620953926.340,29.297,35.156,34.180,22.461,35.645
1620953926.344,44.434,37.109,35.156,36.133,29.785
1620953926.348,38.086,33.691,31.250,32.715,14.648
1620953926.352,20.996,34.668,28.320,29.785,38.574
1620953926.355,12.695,30.273,31.738,31.738,65.430
1620953926.359,18.555,29.297,32.715,32.715,73.730
1620953926.363,27.344,32.227,37.598,30.273,48.828
1620953926.367,26.367,31.250,33.203,27.344,5.859
1620953926.371,13.672,31.738,26.367,22.461,-8.789
1620953926.383,16.113,21.484,31.738,28.809,3.906
1620953926.387,25.879,20.508,27.832,39.551,46.875
1620953926.391,19.531,28.320,22.949,27.344,87.891
1620953926.395,23.926,28.320,27.832,22.949,36.133
1620953926.399,23.926,30.273,30.762,28.809,-4.395
1620953926.403,26.367,31.250,29.785,29.297,30.762
1620953926.407,29.297,29.297,27.344,24.414,82.520
1620953926.410,24.414,33.691,25.879,16.602,21.484
1620953926.414,26.855,40.039,29.297,19.531,52.734
1620953926.418,41.504,28.320,37.109,43.457,12.207
1620953926.422,69.824,31.738,34.668,70.801,-31.250
1620953926.426,68.359,43.457,28.320,52.246,29.297
1620953926.421,38.574,45.410,26.855,18.555,51.270
1620953926.425,38.086,48.828,24.414,13.184,47.363
1620953926.429,50.781,49.316,20.996,26.367,16.602
1620953926.433,53.223,49.316,17.578,28.809,27.344
1620953926.437,41.992,58.105,13.672,20.508,13.672
1620953926.441,37.109,66.406,9.766,20.996,-41.992
1620953926.445,38.574,58.105,4.395,24.902,-4.883
1620953926.448,39.062,54.688,-2.930,21.973,56.641
1620953926.452,42.480,59.082,-1.465,9.277,36.133
1620953926.456,31.250,57.617,-1.465,1.953,15.137
1620953926.460,20.508,58.594,-6.348,5.859,48.828
1620953926.464,18.555,59.570,-4.883,7.324,101.074
1620953926.459,14.648,60.547,-11.719,7.812,23.926
1620953926.463,22.949,56.641,-5.859,17.578,-24.902
1620953926.467,33.691,52.734,9.766,26.855,25.391
1620953926.471,28.320,52.734,11.230,27.832,34.180
1620953926.475,27.832,52.246,14.648,23.438,73.242
1620953926.479,30.762,56.641,17.090,23.926,45.410
1620953926.483,37.109,54.688,12.207,29.297,-33.203
1620953926.486,42.480,51.758,13.672,34.180,-0.488
1620953926.490,48.828,56.152,15.625,37.109,54.199
1620953926.494,54.199,53.223,10.254,29.297,44.434
1620953926.498,51.270,47.363,5.859,32.227,23.926
1620953926.502,47.852,46.875,12.207,41.504,48.828
1620953926.553,47.363,47.852,21.973,29.297,41.992
1620953926.557,48.340,50.781,23.926,23.926,10.254
1620953926.561,43.457,49.316,26.367,30.762,70.801
1620953926.565,38.574,41.504,23.926,30.762,93.262
1620953926.569,48.340,40.039,21.484,35.156,23.438
1620953926.573,53.223,44.922,23.438,31.738,-14.160
1620953926.577,42.969,46.875,25.391,29.785,23.438
1620953926.580,45.898,44.434,26.855,36.133,9.766
1620953926.584,52.734,46.875,26.855,42.969,9.277
1620953926.588,58.594,46.387,29.785,39.551,31.738
1620953926.592,54.199,41.504,28.809,28.809,32.715
1620953926.596,53.223,41.992,25.391,35.645,6.836
1620953926.572,48.340,43.945,32.715,47.852,-1.465
1620953926.576,23.438,41.504,32.715,38.574,-0.977
1620953926.580,12.695,41.992,30.273,33.691,-15.137
1620953926.584,14.648,41.992,33.203,36.133,-20.996
1620953926.588,12.695,35.645,34.668,31.250,-23.926
1620953926.592,13.672,27.344,29.785,26.855,11.230
1620953926.596,14.648,35.156,27.344,16.602,60.547
1620953926.599,16.113,38.574,27.832,10.742,66.406
1620953926.603,25.391,38.574,30.273,20.996,24.414
1620953926.607,31.738,34.668,33.203,24.902,50.293
1620953926.611,23.926,30.762,27.344,18.066,48.340
1620953926.615,30.762,37.109,26.855,17.578,31.738
1620953926.609,38.086,35.156,29.297,28.320,72.266
1620953926.613,35.645,35.645,24.414,30.273,67.871
1620953926.617,34.180,40.039,30.762,26.855,55.664
1620953926.621,27.832,36.133,37.109,23.438,19.531
1620953926.625,25.879,28.809,35.645,18.555,31.738
1620953926.629,27.344,29.297,35.645,25.879,14.160
1620953926.633,13.184,28.809,34.668,19.531,-49.805
1620953926.636,4.883,27.832,30.273,14.160,-17.578
1620953926.640,4.883,28.809,32.227,27.832,47.852
1620953926.644,9.766,32.227,41.504,41.016,65.918
1620953926.648,10.742,31.250,41.016,29.297,65.918
1620953926.652,0.000,36.621,36.133,2.930,41.504
1620953926.665,14.160,41.992,33.203,9.766,-4.395
1620953926.669,23.438,34.668,30.273,27.832,41.504
1620953926.673,21.973,34.180,26.367,29.785,41.016
1620953926.677,31.250,36.621,28.320,20.996,-12.695
1620953926.681,34.180,32.227,30.762,14.160,-11.230
1620953926.685,43.457,30.762,26.855,27.832,37.109
1620953926.689,41.992,27.832,23.926,23.926,92.285
1620953926.692,36.621,28.320,29.785,16.602,19.531
1620953926.696,38.574,36.621,32.227,15.625,-10.742
1620953926.700,44.922,33.203,29.297,20.020,73.730
1620953926.704,49.805,30.273,26.855,29.785,41.016
1620953926.708,42.480,31.250,27.344,33.203,8.301
1620953926.702,27.344,38.574,26.855,32.715,65.918
1620953926.706,20.996,34.668,25.391,33.203,92.285
1620953926.710,24.414,27.832,27.344,33.691,33.203
1620953926.714,26.367,36.133,22.949,31.250,-34.668
1620953926.718,25.391,32.715,22.461,26.367,-10.254
1620953926.722,24.902,32.227,22.461,25.391,35.645
1620953926.726,21.973,37.109,25.879,30.273,125.977
1620953926.729,17.578,35.156,32.715,41.504,140.625
1620953926.733,13.184,28.320,30.762,34.180,95.215
1620953926.737,10.742,26.855,39.062,24.902,0.488
1620953926.741,16.602,28.809,42.480,38.574,-38.086
1620953926.745,21.484,25.879,36.621,49.805,69.824
1620953926.741,19.043,24.414,38.574,46.387,39.551
1620953926.745,10.742,25.391,36.133,36.621,10.742
1620953926.749,13.672,29.297,36.133,42.480,58.594
1620953926.753,13.184,31.250,34.668,43.457,67.383
1620953926.757,15.137,32.227,27.344,27.832,56.152
1620953926.761,20.508,34.668,33.691,19.531,62.500
1620953926.765,11.719,32.715,31.738,20.508,75.684
1620953926.768,19.043,30.273,19.043,18.555,-1.465
1620953926.772,27.344,32.227,25.391,16.113,40.527
1620953926.776,22.949,36.621,28.809,10.742,76.172
1620953926.780,28.320,36.621,21.484,8.301,82.031
1620953926.784,25.879,35.645,22.949,8.789,65.430
1620953926.797,22.461,39.551,27.344,16.113,18.066
1620953926.801,27.832,41.016,26.367,15.137,38.086
1620953926.805,19.531,39.062,27.832,16.113,42.480
1620953926.809,26.855,41.504,29.785,25.879,45.898
1620953926.813,45.898,42.480,34.668,32.227,-16.602
1620953926.817,37.109,35.645,36.621,36.133,-15.625
1620953926.821,31.738,29.297,33.203,28.809,9.277
1620953926.824,38.086,29.297,32.715,35.156,37.109
1620953926.828,43.457,26.367,30.273,41.992,54.688
1620953926.832,47.363,32.715,30.273,41.992,20.996
1620953926.836,41.016,34.668,31.250,36.621,24.902
1620953926.840,32.227,30.273,33.203,29.785,42.969
1620953926.833,32.715,31.738,36.621,44.922,34.180
