timestamps,TP9,AF7,AF8,TP10,Right AUX
1620953681.020,21.484,22.461,33.691,30.273,38.086
1620953681.024,26.367,20.508,30.273,28.809,-10.254
1620953681.028,20.508,18.066,28.809,20.020,2.441
1620953681.032,12.695,16.602,28.809,21.973,64.453
1620953681.036,21.973,18.066,29.785,34.180,34.668
1620953681.040,32.227,22.949,30.273,29.297,70.312
1620953681.044,36.133,29.297,29.297,20.996,80.078
1620953681.047,19.531,27.832,30.273,22.461,29.297
1620953681.051,8.789,23.438,29.297,22.461,21.484
1620953681.055,23.926,28.320,31.250,28.320,9.277
1620953681.059,27.344,28.320,33.691,29.297,22.461
1620953681.063,20.996,28.320,33.691,27.344,62.988
1620953681.067,24.414,33.691,40.039,30.273,-21.484
1620953681.071,17.090,32.227,40.527,27.832,50.293
1620953681.075,24.414,31.738,42.480,28.320,70.312
1620953681.079,33.691,35.645,41.016,31.738,11.719
1620953681.083,26.367,37.598,38.574,29.785,-19.043
1620953681.086,24.902,38.574,38.574,19.531,6.836
1620953681.090,24.902,39.062,39.062,16.113,52.246
1620953681.094,26.367,33.691,39.062,24.414,10.254
1620953681.098,26.855,28.809,41.992,31.738,-59.082
1620953681.102,19.531,33.691,40.527,26.855,6.348
1620953681.115,15.625,34.180,38.574,20.996,43.945
1620953681.119,15.137,35.156,36.621,26.855,-6.348
1620953681.123,19.043,37.109,32.715,30.762,20.020
1620953681.127,24.902,32.715,30.762,31.250,16.602
1620953681.131,29.785,32.227,29.785,29.297,-36.621
1620953681.135,34.668,28.320,30.273,31.738,4.883
1620953681.139,34.668,24.414,35.156,39.062,4.883
1620953681.142,31.250,24.902,34.668,33.691,-9.277
1620953681.146,24.414,28.809,31.250,21.484,48.828
1620953681.150,14.648,30.273,31.738,12.695,34.180
1620953681.154,19.043,24.902,30.762,19.531,43.945
1620953681.158,30.273,26.855,33.203,26.855,50.293
1620953681.151,22.949,29.297,34.668,16.113,-2.930
1620953681.155,13.672,28.320,31.250,12.695,7.324
1620953681.159,15.625,25.879,34.668,28.320,-14.160
1620953681.163,10.254,24.902,28.320,36.621,31.250
1620953681.167,7.812,26.367,20.020,25.879,31.738
1620953681.171,9.766,24.902,19.531,11.230,-12.695
1620953681.175,10.742,27.344,18.555,10.254,25.879
1620953681.178,8.301,30.762,19.531,17.090,27.832
1620953681.182,3.418,30.273,20.508,16.113,-9.766
1620953681.186,7.324,26.855,23.438,10.254,70.801
1620953681.190,13.184,29.785,25.879,13.672,66.406
1620953681.194,21.973,33.691,24.902,24.414,26.855
1620953681.208,19.531,36.133,25.391,24.902,69.336
1620953681.212,16.602,38.086,25.879,16.602,77.637
1620953681.216,18.555,37.598,22.949,17.578,106.934
1620953681.220,21.973,39.062,22.949,26.367,104.980
1620953681.224,29.297,38.086,23.926,31.738,31.250
1620953681.228,29.297,31.250,20.020,27.344,12.695
1620953681.232,22.461,29.785,19.531,24.902,-6.836
1620953681.235,20.020,32.715,20.996,26.367,16.602
1620953681.239,24.414,35.645,25.391,32.715,26.367
1620953681.243,21.484,32.715,28.809,34.180,27.832
1620953681.247,20.020,31.250,27.832,29.297,20.020
1620953681.251,27.344,34.668,30.762,30.762,-7.324
1620953681.245,27.832,37.109,28.320,34.668,-12.695
1620953681.249,33.203,39.062,28.320,34.180,-21.484
1620953681.253,35.645,36.621,25.879,29.297,13.184
