timestamps,TP9,AF7,AF8,TP10,Right AUX
1621215152.386,-7.324,-26.855,-49.805,-34.180,0.000
1621215152.389,-7.812,-28.809,-50.293,-24.414,0.000
1621215152.393,-12.207,-27.832,-52.246,-27.344,0.000
1621215152.397,-15.137,-27.344,-51.270,-27.344,0.000
1621215152.401,-16.113,-27.832,-49.316,-35.645,0.000
1621215152.405,-19.531,-24.902,-48.340,-36.621,0.000
1621215152.409,-30.762,-26.367,-45.898,-23.926,0.000
1621215152.413,-30.273,-29.297,-49.316,-35.156,0.000
1621215152.417,-20.996,-28.809,-46.387,-39.062,0.000
1621215152.421,-17.578,-25.391,-35.156,-27.832,0.000
1621215152.425,-23.438,-23.438,-43.945,-17.578,0.000
1621215152.429,-36.621,-24.902,-52.246,-24.414,0.000
1621215152.432,-18.555,-23.438,-45.410,-35.645,0.000
1621215152.436,-14.648,-25.391,-50.293,-42.480,0.000
1621215152.440,-23.926,-24.902,-50.781,-32.715,0.000
1621215152.444,-24.902,-21.484,-46.387,-33.691,0.000
1621215152.448,-28.320,-26.855,-48.340,-44.434,0.000
1621215152.452,-24.902,-24.902,-49.316,-37.109,0.000
1621215152.456,-23.926,-20.996,-46.387,-34.180,0.000
1621215152.460,-24.414,-21.973,-46.387,-35.645,0.000
1621215152.464,-23.438,-20.996,-44.922,-27.344,0.000
1621215152.468,-17.090,-24.414,-42.480,-22.461,0.000
1621215152.472,-15.137,-31.738,-41.992,-27.344,0.000
1621215152.475,-16.602,-31.738,-41.992,-23.926,0.000
1621215152.479,-17.578,-30.762,-41.504,-18.555,0.000
1621215152.483,-12.207,-30.762,-43.945,-16.113,0.000
1621215152.487,-8.301,-27.832,-47.852,-9.277,0.000
1621215152.491,-12.695,-26.855,-54.199,-19.531,0.000
1621215152.495,-18.555,-23.926,-48.828,-23.438,0.000
1621215152.499,-35.645,-24.902,-45.898,-22.461,0.000
1621215152.503,-19.531,-27.832,-44.922,-22.949,0.000
1621215152.507,-15.625,-28.320,-36.621,-24.414,0.000
1621215152.511,-27.832,-29.297,-35.156,-27.832,0.000
1621215152.514,-30.273,-33.203,-37.109,-29.785,0.000
1621215152.518,-35.645,-31.250,-38.086,-40.527,0.000
1621215152.522,-32.227,-26.855,-34.180,-41.016,0.000
1621215152.526,-32.715,-26.367,-32.715,-34.668,0.000
1621215152.530,-36.621,-21.484,-38.574,-38.574,0.000
1621215152.534,-31.250,-19.043,-41.016,-34.668,0.000
1621215152.538,-34.180,-28.320,-32.227,-28.809,0.000
1621215152.542,-39.551,-33.203,-42.969,-39.551,0.000
1621215152.546,-44.434,-31.250,-48.828,-47.363,0.000
1621215152.550,-48.340,-33.691,-40.039,-46.387,0.000
1621215152.554,-48.828,-35.156,-44.434,-43.457,0.000
1621215152.557,-43.945,-32.227,-42.969,-42.480,0.000
1621215152.561,-44.434,-29.297,-46.387,-51.270,0.000
1621215152.565,-45.410,-31.738,-44.922,-47.852,0.000
1621215152.569,-39.062,-31.250,-37.109,-42.969,0.000
1621215152.573,-40.527,-30.762,-37.109,-39.551,0.000
1621215152.577,-35.645,-29.297,-34.180,-28.809,0.000
1621215152.581,-30.762,-25.391,-32.227,-30.762,0.000
1621215152.585,-26.855,-26.855,-34.668,-38.086,0.000
1621215152.589,-29.297,-32.227,-37.109,-39.551,0.000
1621215152.593,-34.668,-31.250,-31.250,-28.809,0.000
1621215152.597,-19.043,-29.297,-39.551,-22.949,0.000
1621215152.600,-7.324,-31.738,-42.480,-21.973,0.000
1621215152.604,-20.020,-31.250,-36.621,-15.625,0.000
1621215152.608,-23.438,-30.762,-43.457,-13.184,0.000
1621215152.612,-13.672,-33.203,-41.016,-11.230,0.000
1621215152.616,-15.625,-35.156,-39.062,-11.719,0.000
1621215152.620,-15.625,-37.109,-38.574,-7.812,0.000
1621215152.624,-15.137,-40.527,-27.344,-2.441,0.000
1621215152.628,-18.066,-41.504,-27.344,-9.277,0.000
1621215152.632,-19.531,-43.457,-30.273,-9.277,0.000
1621215152.636,-19.043,-36.621,-39.062,-11.719,0.000
1621215152.639,-9.766,-32.715,-40.527,-16.602,0.000
1621215152.643,-6.348,-34.668,-31.250,-15.625,0.000
1621215152.647,-15.625,-34.180,-38.086,-21.973,0.000
1621215152.651,-16.602,-27.344,-43.945,-19.043,0.000
1621215152.655,-18.555,-22.461,-41.016,-17.578,0.000
1621215152.659,-22.461,-28.809,-46.875,-20.508,0.000
1621215152.663,-29.297,-36.621,-54.199,-24.414,0.000
1621215152.667,-38.574,-34.180,-49.805,-31.738,0.000
1621215152.671,-27.832,-33.691,-44.434,-30.273,0.000
1621215152.675,-25.391,-34.668,-44.922,-17.090,0.000
1621215152.679,-19.043,-35.645,-41.016,-15.137,0.000
1621215152.682,-17.578,-35.645,-43.457,-19.531,0.000
1621215152.686,-16.113,-33.691,-39.551,-12.207,0.000
1621215152.690,-9.277,-31.250,-37.598,-13.184,0.000
1621215152.694,-7.324,-30.762,-40.039,-9.766,0.000
1621215152.698,-3.906,-32.227,-32.227,-7.324,0.000
1621215152.702,-3.906,-33.203,-35.156,-13.184,0.000
1621215152.706,-9.766,-32.715,-41.504,-7.812,0.000
1621215152.710,-8.301,-33.203,-37.109,-8.789,0.000
1621215152.714,-11.230,-29.297,-39.551,-13.672,0.000
1621215152.718,-19.531,-26.367,-43.457,-20.996,0.000
1621215152.722,-28.320,-32.227,-46.387,-26.855,0.000
1621215152.725,-30.273,-31.250,-43.945,-28.320,0.000
1621215152.729,-25.879,-31.250,-48.828,-28.809,0.000
1621215152.733,-20.020,-30.762,-52.734,-27.832,0.000
