timestamps,TP9,AF7,AF8,TP10,Right AUX
1621214493.984,-39.551,-36.133,-30.273,-23.438,0.000
1621214493.988,-32.715,-34.180,-33.691,-23.438,0.000
1621214493.991,-27.344,-25.391,-32.227,-25.879,0.000
1621214493.995,-21.973,-33.691,-29.785,-31.738,0.000
1621214493.999,-27.832,-42.969,-29.297,-28.809,0.000
1621214494.003,-20.020,-31.738,-27.344,-15.137,0.000
1621214494.007,-9.766,-22.461,-31.738,-19.531,0.000
1621214494.011,-13.184,-28.320,-31.738,-27.344,0.000
1621214494.015,-14.648,-45.898,-26.855,-29.297,0.000
1621214494.019,-12.695,-57.617,-27.344,-29.297,0.000
1621214494.022,-15.625,-43.457,-28.320,-31.738,0.000
1621214494.026,-21.973,-30.273,-31.738,-32.715,0.000
1621214494.031,-25.391,-29.785,-32.227,-29.785,0.000
1621214494.034,-12.207,-28.320,-30.762,-32.715,0.000
1621214494.038,-1.953,-39.551,-29.785,-32.715,0.000
1621214494.042,-9.766,-42.969,-25.879,-16.113,0.000
1621214494.046,-16.113,-40.039,-26.367,-10.742,0.000
1621214494.050,-14.160,-52.734,-28.320,-11.719,0.000
1621214494.054,-15.625,-46.387,-25.879,-7.812,0.000
1621214494.058,-24.902,-36.133,-24.902,-8.789,0.000
1621214494.062,-14.648,-46.387,-23.926,-8.301,0.000
1621214494.065,-26.367,-55.176,-21.973,-20.020,0.000
1621214494.069,-36.133,-54.199,-26.855,-27.832,0.000
1621214494.073,-22.461,-35.156,-32.715,-17.578,0.000
1621214494.078,-26.855,-22.949,-27.832,-17.578,0.000
1621214494.082,-33.691,-30.273,-20.508,-24.902,0.000
1621214494.085,-41.992,-39.551,-28.809,-27.344,0.000
1621214494.089,-27.344,-46.387,-30.762,-17.578,0.000
1621214494.093,-5.371,-37.598,-21.973,-21.484,0.000
1621214494.097,-13.184,-41.016,-25.879,-29.785,0.000
1621214494.101,-14.648,-41.992,-31.250,-26.855,0.000
1621214494.105,-4.883,-25.879,-31.250,-20.508,0.000
1621214494.109,-4.883,-27.832,-32.227,-20.020,0.000
1621214494.112,-35.156,-34.180,-35.156,-31.738,0.000
1621214494.116,-52.734,-46.387,-40.527,-38.574,0.000
1621214494.120,-31.738,-53.711,-34.668,-27.344,0.000
1621214494.125,-17.090,-53.223,-27.344,-23.926,0.000
1621214494.128,-23.438,-41.992,-28.809,-35.645,0.000
1621214494.132,-37.598,-27.344,-26.855,-33.691,0.000
1621214494.136,-46.387,-28.320,-27.832,-35.156,0.000
1621214494.140,-38.086,-43.945,-32.227,-28.809,0.000
1621214494.144,-31.250,-37.109,-37.109,-26.855,0.000
1621214494.148,-30.273,-31.250,-36.621,-37.109,0.000
1621214494.152,-22.461,-41.016,-36.621,-33.691,0.000
1621214494.155,-20.508,-35.156,-37.109,-22.461,0.000
1621214494.159,-19.043,-29.297,-35.156,-14.160,0.000
1621214494.163,-22.949,-32.227,-32.715,-10.254,0.000
1621214494.167,-41.016,-36.133,-34.668,-14.160,0.000
1621214494.171,-51.758,-47.852,-39.551,-24.414,0.000
1621214494.175,-46.387,-48.828,-41.016,-26.367,0.000
1621214494.179,-22.949,-42.969,-41.016,-32.227,0.000
1621214494.183,-15.137,-43.945,-35.156,-33.203,0.000
1621214494.187,-18.066,-39.551,-27.832,-27.832,0.000
1621214494.191,-22.949,-42.969,-34.180,-31.738,0.000
1621214494.195,-34.180,-45.898,-43.457,-26.855,0.000
1621214494.198,-37.598,-35.645,-40.527,-28.809,0.000
1621214494.202,-28.320,-30.273,-37.109,-38.574,0.000
1621214494.206,-17.090,-35.645,-40.039,-37.109,0.000
1621214494.210,-7.324,-44.922,-37.598,-34.180,0.000
1621214494.214,-20.996,-49.316,-38.086,-38.086,0.000
1621214494.218,-38.086,-50.781,-40.039,-45.898,0.000
1621214494.222,-32.715,-56.152,-33.203,-44.922,0.000
1621214494.226,-27.832,-41.504,-29.297,-36.133,0.000
1621214494.230,-24.414,-28.809,-31.738,-37.598,0.000
1621214494.234,-26.855,-40.039,-38.086,-48.828,0.000
1621214494.238,-36.133,-45.410,-42.480,-43.457,0.000
1621214494.241,-50.293,-52.246,-43.945,-30.273,0.000
1621214494.245,-42.969,-61.035,-38.574,-35.645,0.000
1621214494.249,-29.785,-43.945,-34.668,-44.434,0.000
1621214494.253,-21.973,-31.250,-35.645,-32.227,0.000
1621214494.257,-23.926,-33.203,-35.156,-25.391,0.000
1621214494.261,-31.250,-41.992,-37.598,-27.344,0.000
1621214494.265,-31.250,-49.805,-40.039,-26.855,0.000
1621214494.269,-29.297,-45.898,-38.574,-24.902,0.000
1621214494.273,-20.996,-51.758,-42.969,-16.602,0.000
1621214494.277,-19.531,-56.152,-33.691,-6.836,0.000
1621214494.281,-28.320,-39.551,-23.438,-7.324,0.000
1621214494.284,-34.180,-33.691,-26.367,-15.625,0.000
1621214494.288,-27.344,-45.410,-27.344,-12.695,0.000
1621214494.292,-18.555,-44.922,-26.855,-13.672,0.000
1621214494.296,-11.230,-31.738,-30.273,-22.949,0.000
1621214494.300,-0.488,-29.785,-29.785,-36.621,0.000
1621214494.304,-6.836,-43.945,-26.855,-33.691,0.000
1621214494.308,-25.879,-46.875,-26.367,-23.438,0.000
1621214494.312,-19.043,-26.367,-32.227,-30.273,0.000
1621214494.316,-22.949,-22.949,-37.109,-28.320,0.000
1621214494.320,-25.391,-39.062,-33.691,-23.926,0.000
1621214494.324,-20.996,-43.457,-27.832,-31.738,0.000
1621214494.327,-24.902,-38.086,-29.297,-29.785,0.000
1621214494.331,-20.508,-36.133,-30.273,-30.273,0.000
1621214494.335,-18.066,-44.922,-31.738,-32.715,0.000
1621214494.339,-31.738,-55.176,-38.086,-27.344,0.000
1621214494.343,-46.387,-43.457,-35.645,-26.367,0.000
1621214494.347,-31.250,-34.180,-33.691,-39.062,0.000
1621214494.351,-19.043,-28.809,-35.645,-47.363,0.000
1621214494.355,-22.461,-25.391,-35.156,-42.480,0.000
1621214494.359,-18.066,-34.668,-33.691,-39.062,0.000
1621214494.363,-15.625,-40.527,-28.809,-29.785,0.000
1621214494.367,-20.508,-35.645,-30.762,-23.926,0.000
1621214494.371,-24.902,-38.086,-28.809,-15.625,0.000
1621214494.374,-29.297,-44.434,-28.320,-15.137,0.000
1621214494.378,-26.855,-53.223,-34.180,-27.832,0.000
