timestamps,TP9,AF7,AF8,TP10,Right AUX
1621214705.718,11.230,-15.137,-39.062,-32.227,0.000
1621214705.722,-3.418,-10.742,-35.156,-13.672,0.000
1621214705.726,-19.043,-21.484,-36.133,-11.719,0.000
1621214705.730,-25.879,-26.855,-38.574,-21.484,0.000
1621214705.734,-24.414,-28.320,-36.621,-16.113,0.000
1621214705.738,-16.602,-34.180,-38.574,-15.137,0.000
1621214705.741,-24.902,-33.203,-36.621,-11.719,0.000
1621214705.745,-42.969,-32.715,-32.715,-17.090,0.000
1621214705.749,-42.969,-34.180,-28.809,-14.648,0.000
1621214705.753,-22.949,-38.574,-30.273,-8.789,0.000
1621214705.757,-6.348,-34.668,-30.762,-13.672,0.000
1621214705.761,-1.953,-34.668,-33.203,-21.973,0.000
1621214705.765,-9.766,-35.645,-37.598,-17.090,0.000
1621214705.769,-12.207,-30.762,-41.016,-13.184,0.000
1621214705.773,4.395,-31.250,-45.410,-20.996,0.000
1621214705.777,7.324,-30.273,-42.969,-24.414,0.000
1621214705.781,-16.602,-35.156,-40.039,-26.367,0.000
1621214705.784,-55.176,-48.828,-37.598,-25.391,0.000
1621214705.788,-54.688,-47.363,-36.621,-23.926,0.000
1621214705.792,-26.367,-33.203,-41.992,-41.504,0.000
1621214705.796,-28.809,-28.320,-45.410,-52.246,0.000
1621214705.800,-51.758,-34.668,-42.969,-33.691,0.000
1621214705.804,-58.594,-40.039,-38.574,-22.949,0.000
1621214705.808,-30.273,-28.809,-40.527,-25.391,0.000
1621214705.812,-11.719,-21.484,-38.574,-27.344,0.000
1621214705.816,-32.715,-23.926,-35.645,-17.090,0.000
1621214705.820,-39.551,-21.973,-38.086,-13.672,0.000
1621214705.824,-7.812,-30.273,-40.527,-20.020,0.000
1621214705.827,8.789,-32.715,-41.504,-20.020,0.000
1621214705.831,-4.395,-33.203,-42.969,-9.277,0.000
1621214705.835,-17.578,-38.086,-39.551,-9.277,0.000
1621214705.839,-12.207,-33.203,-33.203,-15.625,0.000
1621214705.843,-3.906,-35.156,-33.691,-9.766,0.000
1621214705.847,-13.672,-38.086,-34.180,-8.301,0.000
1621214705.851,-6.348,-31.738,-30.762,-10.254,0.000
1621214705.855,5.371,-34.180,-30.273,-11.230,0.000
1621214705.859,-8.789,-36.621,-34.668,-13.672,0.000
1621214705.863,-11.230,-29.297,-37.109,-20.020,0.000
1621214705.866,-24.414,-27.344,-31.738,-29.297,0.000
1621214705.870,-23.438,-35.645,-36.133,-32.227,0.000
1621214705.874,-17.578,-35.156,-43.457,-33.691,0.000
1621214705.878,-32.227,-24.902,-40.039,-38.086,0.000
1621214705.882,-25.391,-20.996,-40.039,-31.738,0.000
1621214705.886,-18.066,-24.414,-42.969,-28.320,0.000
1621214705.890,-13.672,-33.691,-40.039,-27.344,0.000
1621214705.894,-26.855,-33.203,-36.621,-28.809,0.000
1621214705.898,-54.199,-30.273,-40.039,-32.227,0.000
1621214705.902,-48.828,-34.668,-42.480,-32.715,0.000
1621214705.906,-27.344,-31.738,-40.039,-33.203,0.000
1621214705.909,-9.277,-30.762,-36.133,-38.574,0.000
1621214705.913,-3.906,-29.785,-35.645,-38.574,0.000
1621214705.917,-28.320,-33.691,-37.109,-33.691,0.000
1621214705.921,-43.457,-38.086,-30.762,-31.250,0.000
1621214705.925,-55.176,-35.156,-26.367,-20.508,0.000
1621214705.929,-58.594,-35.156,-31.738,-21.484,0.000
1621214705.933,-39.551,-28.809,-38.086,-27.832,0.000
1621214705.937,-33.691,-23.438,-36.133,-12.695,0.000
1621214705.941,-17.578,-33.203,-27.832,-4.883,0.000
1621214705.945,-4.395,-39.551,-32.227,-23.926,0.000
1621214705.948,-10.254,-43.945,-37.598,-35.156,0.000
1621214705.952,-22.461,-41.504,-34.180,-34.180,0.000
1621214705.956,-48.340,-42.969,-26.855,-25.391,0.000
1621214705.960,-64.453,-45.898,-24.414,-19.043,0.000
1621214705.964,-54.199,-42.480,-26.367,-31.738,0.000
1621214705.968,-43.457,-38.574,-26.367,-33.691,0.000
1621214705.972,-30.273,-36.621,-31.250,-25.879,0.000
1621214705.976,-16.602,-34.180,-34.668,-31.250,0.000
1621214705.980,-13.184,-38.086,-36.621,-27.344,0.000
1621214705.984,0.488,-38.086,-41.016,-20.020,0.000
1621214705.988,-3.418,-35.156,-39.062,-22.461,0.000
