timestamps,TP9,AF7,AF8,TP10,Right AUX
1621214929.773,-9.277,-18.066,-32.715,-16.113,0.000
1621214929.777,-16.113,-27.832,-46.387,-20.996,0.000
1621214929.781,-18.555,-25.879,-50.781,-25.391,0.000
1621214929.785,-20.996,-22.949,-41.504,-19.531,0.000
1621214929.789,-20.508,-29.785,-30.273,-14.160,0.000
1621214929.793,-21.484,-27.832,-26.367,-13.672,0.000
1621214929.797,-21.484,-27.344,-30.762,-19.531,0.000
1621214929.801,-22.461,-29.785,-33.203,-18.555,0.000
1621214929.804,-25.879,-31.250,-37.109,-22.949,0.000
1621214929.808,-22.461,-31.250,-41.992,-27.344,0.000
1621214929.812,-24.902,-31.250,-45.898,-29.785,0.000
1621214929.816,-28.809,-29.785,-39.551,-34.180,0.000
1621214929.820,-26.367,-31.738,-30.762,-23.926,0.000
1621214929.824,-30.273,-31.738,-42.969,-22.461,0.000
1621214929.828,-34.668,-25.879,-51.758,-36.133,0.000
1621214929.832,-32.715,-24.902,-42.480,-37.598,0.000
1621214929.836,-27.344,-30.273,-37.598,-20.020,0.000
1621214929.840,-21.484,-30.762,-36.133,-10.254,0.000
1621214929.844,-18.555,-30.273,-40.039,-21.973,0.000
1621214929.847,-18.555,-29.785,-41.504,-37.109,0.000
1621214929.851,-17.578,-28.320,-38.574,-30.762,0.000
1621214929.855,-21.484,-33.691,-44.922,-30.273,0.000
1621214929.859,-27.344,-35.156,-49.316,-32.227,0.000
1621214929.863,-20.508,-31.250,-41.504,-28.320,0.000
1621214929.867,-16.113,-28.320,-31.738,-30.273,0.000
1621214929.871,-18.066,-25.391,-46.875,-33.691,0.000
1621214929.875,-23.438,-28.320,-53.223,-40.039,0.000
1621214929.879,-32.227,-27.344,-37.598,-38.086,0.000
1621214929.883,-31.738,-25.879,-33.203,-30.273,0.000
1621214929.887,-30.762,-26.855,-39.062,-29.297,0.000
1621214929.890,-24.414,-24.414,-42.969,-22.949,0.000
1621214929.894,-14.648,-27.344,-35.156,-18.555,0.000
1621214929.898,-9.277,-30.273,-39.551,-14.160,0.000
1621214929.902,-12.207,-27.344,-44.922,2.441,0.000
1621214929.906,-23.438,-22.461,-41.992,-9.277,0.000
1621214929.910,-25.879,-25.879,-48.828,-23.438,0.000
1621214929.914,-21.484,-26.367,-41.992,-20.996,0.000
1621214929.918,-16.113,-16.602,-31.738,-17.090,0.000
1621214929.922,-16.113,-19.531,-39.062,-13.672,0.000
