timestamps,TP9,AF7,AF8,TP10
1621565071.606,-39.062,1.465,-43.457,-52.734
1621565071.610,-57.617,-2.441,-52.246,-57.129
1621565071.614,-29.785,-6.348,-49.316,-23.926
1621565071.618,-25.879,-9.766,-49.805,-16.113
1621565071.622,-56.641,-7.324,-49.805,-43.457
1621565071.626,-56.152,-5.859,-41.992,-48.828
1621565071.630,-39.062,-7.812,-39.062,-31.738
1621565071.634,0.000,-6.348,-39.551,-5.859
1621565071.638,-24.902,-7.324,-44.922,-26.855
1621565071.642,-70.312,-9.277,-43.945,-49.805
1621565071.646,-46.875,-9.277,-40.527,-30.762
1621565071.649,-5.371,-7.324,-44.434,10.254
1621565071.653,-16.602,-13.672,-47.852,-19.531
1621565071.657,-43.945,-16.113,-41.016,-56.152
1621565071.661,-37.598,-15.625,-41.992,-39.062
1621565071.665,-13.184,-17.090,-42.969,-9.766
1621565071.669,-6.348,-13.184,-39.062,-5.371
1621565071.673,-41.992,-10.742,-41.992,-39.062
1621565071.677,-47.363,-11.719,-40.039,-39.551
1621565071.681,-16.602,-16.113,-40.039,-16.602
1621565071.685,-4.395,-20.020,-44.434,-12.207
1621565071.689,-31.738,-19.531,-38.574,-32.715
1621565071.693,-43.457,-19.043,-30.762,-35.156
1621565071.697,-20.508,-15.137,-26.855,-21.484
1621565071.701,7.812,-12.207,-25.879,-1.953
1621565071.705,-14.648,-12.207,-27.832,-27.832
1621565071.709,-56.641,-14.160,-31.738,-55.664
1621565071.713,-54.199,-13.184,-31.738,-38.574
1621565071.717,-11.719,-13.672,-30.762,-5.859
1621565071.720,-12.207,-17.090,-32.227,-14.648
1621565071.724,-41.992,-19.531,-37.598,-39.551
1621565071.728,-44.922,-16.602,-35.645,-38.574
1621565071.732,-16.113,-20.020,-33.203,-7.324
1621565071.736,1.953,-16.113,-31.250,10.742
1621565071.740,-21.973,-10.742,-31.250,-9.766
1621565071.744,-30.762,-16.113,-30.762,-19.531
1621565071.748,-11.230,-16.602,-23.926,2.441
1621565071.752,7.812,-13.184,-25.391,15.625
1621565071.756,-24.414,-16.113,-32.227,-22.949
1621565071.760,-53.711,-17.090,-34.668,-36.133
1621565071.764,-29.297,-15.625,-30.273,-13.672
1621565071.768,6.348,-16.602,-26.367,4.395
1621565071.772,-11.230,-17.090,-25.879,-13.184
1621565071.776,-43.457,-20.508,-28.320,-38.086
1621565071.780,-42.969,-23.438,-36.621,-38.086
1621565071.784,-17.090,-28.320,-38.086,-4.883
1621565071.788,-9.277,-19.531,-30.273,-8.301
1621565071.791,-41.016,-17.090,-32.227,-40.527
1621565071.795,-47.363,-20.020,-36.133,-36.133
1621565071.799,-24.902,-24.414,-39.062,-12.207
1621565071.803,-8.789,-30.762,-38.574,-8.301
1621565071.807,-38.086,-25.879,-36.133,-47.852
1621565071.811,-52.246,-19.531,-36.621,-58.594
1621565071.815,-23.438,-17.090,-33.691,-22.461
1621565071.819,-10.254,-18.066,-28.809,-1.465
1621565071.823,-39.551,-19.043,-30.273,-25.391
1621565071.827,-60.547,-16.602,-25.391,-39.062
1621565071.831,-34.668,-10.742,-18.066,-19.043
1621565071.835,-2.441,-13.184,-18.555,10.742
1621565071.839,-16.113,-16.602,-18.066,-10.742
1621565071.843,-30.762,-11.719,-18.066,-29.785
1621565071.847,-22.949,-14.160,-20.996,-10.254
1621565071.851,-4.395,-15.137,-17.578,17.090
1621565071.855,-2.441,-12.207,-15.137,9.766
1621565071.859,-41.504,-11.719,-17.090,-27.344
1621565071.862,-46.875,-12.207,-17.090,-28.809
1621565071.866,-16.602,-14.648,-19.531,-2.441
1621565071.870,-3.906,-16.602,-20.996,-0.977
1621565071.874,-31.250,-21.484,-21.973,-28.320
1621565071.878,-60.547,-26.367,-24.414,-45.410
1621565071.882,-44.434,-24.902,-22.461,-27.832
1621565071.886,-18.066,-22.949,-24.414,-1.465
1621565071.890,-39.062,-24.902,-25.391,-33.691
1621565071.894,-64.453,-25.879,-24.414,-61.523
1621565071.898,-60.059,-25.391,-28.320,-41.504
1621565071.902,-22.461,-26.367,-29.297,-7.812
1621565071.906,-16.113,-23.438,-26.367,-22.949
1621565071.910,-45.898,-25.391,-25.391,-47.852
1621565071.914,-36.621,-26.367,-24.414,-33.691
1621565071.918,-9.766,-21.484,-25.879,-11.230
1621565071.922,-17.090,-20.020,-27.344,-18.555
1621565071.926,-53.223,-25.391,-27.832,-47.852
1621565071.930,-61.035,-27.832,-24.902,-48.828
1621565071.933,-27.344,-29.785,-23.926,-15.625
1621565071.937,0.488,-29.785,-23.438,-0.977
1621565071.941,-33.691,-24.414,-24.902,-41.504
1621565071.945,-56.641,-25.391,-29.785,-52.734
1621565071.949,-30.762,-29.297,-31.250,-21.973
1621565071.953,-9.277,-30.273,-30.762,0.977
1621565071.957,-33.203,-28.320,-24.902,-22.461
1621565071.961,-48.828,-24.902,-23.926,-37.598
1621565071.965,-37.109,-31.250,-22.461,-24.902
1621565071.969,-16.602,-29.785,-22.949,-5.371
1621565071.973,-26.855,-24.902,-27.832,-12.207
1621565071.977,-55.664,-22.949,-26.367,-25.879
1621565071.981,-56.641,-20.996,-20.020,-33.691
1621565071.985,-16.113,-21.484,-17.090,-10.254
1621565071.989,-12.207,-22.949,-23.438,-1.465
1621565071.993,-50.293,-25.391,-23.438,-29.785
1621565071.997,-48.340,-27.344,-25.879,-39.551
1621565072.001,-26.855,-24.902,-27.832,-19.531
1621565072.004,-9.277,-23.438,-25.391,5.371
1621565072.008,-42.480,-27.832,-30.273,-26.367
1621565072.012,-59.570,-27.832,-27.344,-40.039
1621565072.016,-35.645,-29.297,-24.902,-11.230
1621565072.020,-10.254,-31.250,-24.902,2.930
1621565072.024,-37.109,-29.297,-23.926,-22.949
1621565072.028,-62.012,-25.391,-23.926,-41.504
1621565072.032,-45.898,-27.832,-23.438,-31.738
1621565072.036,-21.484,-31.250,-29.297,-5.371
1621565072.040,-26.367,-30.762,-30.762,-18.066
1621565072.044,-48.828,-26.367,-27.344,-50.293
1621565072.048,-37.109,-23.438,-26.855,-47.852
1621565072.052,-5.371,-19.531,-25.391,-15.625
1621565072.056,2.930,-22.461,-24.902,-11.719
1621565072.060,-28.809,-21.973,-25.879,-43.945
1621565072.064,-39.551,-17.090,-26.367,-41.016
1621565072.068,-20.996,-19.043,-25.879,-4.883
1621565072.072,1.465,-25.391,-22.461,7.812
1621565072.075,-26.367,-24.414,-20.996,-21.973
1621565072.079,-52.734,-21.973,-25.391,-31.738
1621565072.083,-43.457,-28.809,-28.809,-19.043
1621565072.087,-7.812,-23.926,-27.344,13.672
1621565072.091,-13.184,-20.508,-25.879,-2.441
1621565072.095,-50.781,-27.344,-23.926,-34.180
1621565072.099,-42.969,-25.879,-25.879,-18.066
1621565072.103,-12.207,-21.973,-26.855,13.672
1621565072.107,-14.160,-25.879,-29.297,-3.906
1621565072.111,-50.781,-29.297,-30.762,-35.156
1621565072.115,-54.199,-25.879,-25.391,-29.785
1621565072.119,-24.414,-25.879,-25.391,-5.859
1621565072.123,-1.953,-24.414,-21.973,8.789
1621565072.127,-37.598,-19.531,-23.438,-28.809
1621565072.131,-60.547,-20.508,-27.344,-40.039
1621565072.135,-32.227,-25.879,-23.926,-4.395
1621565072.139,2.930,-24.414,-25.879,23.438
1621565072.143,-20.508,-24.902,-29.297,-6.836
1621565072.146,-49.316,-26.367,-26.855,-32.227
1621565072.150,-32.227,-27.344,-24.414,-15.625
1621565072.154,-7.324,-26.855,-26.855,4.395
1621565072.158,-23.438,-22.949,-31.250,-21.973
1621565072.162,-57.617,-23.438,-29.785,-41.992
1621565072.166,-51.270,-23.926,-22.949,-26.367
1621565072.170,-13.184,-24.902,-23.438,3.906
1621565072.174,-8.301,-25.879,-25.879,-1.953
1621565072.178,-49.316,-22.949,-25.391,-41.016
1621565072.182,-53.711,-22.461,-22.949,-41.016
1621565072.186,-22.461,-27.344,-22.461,-10.742
1621565072.190,1.953,-29.297,-23.926,-2.441
1621565072.194,-27.344,-26.855,-20.996,-33.691
1621565072.198,-60.059,-24.902,-20.996,-49.805
1621565072.202,-34.668,-26.855,-24.902,-32.715
1621565072.206,-5.371,-31.250,-30.273,-8.789
1621565072.210,-30.762,-26.855,-28.809,-26.367
1621565072.214,-50.293,-18.555,-26.367,-37.598
