timestamps,TP9,AF7,AF8,TP10,Right AUX
1621213922.441,-25.879,-33.691,-27.832,-36.133,0.000
1621213922.445,-59.570,-41.504,-25.879,-44.434,0.000
1621213922.448,-62.012,-42.480,-21.484,-73.730,0.000
1621213922.452,-36.621,-36.621,-24.414,-69.336,0.000
1621213922.456,-41.504,-41.016,-26.367,-53.223,0.000
1621213922.460,-47.363,-39.062,-22.949,-60.547,0.000
1621213922.464,-46.875,-30.762,-23.438,-66.406,0.000
1621213922.468,-41.016,-32.715,-24.414,-66.895,0.000
1621213922.472,-39.551,-39.551,-27.832,-44.434,0.000
1621213922.476,-42.480,-39.551,-24.902,-35.156,0.000
1621213922.480,-46.875,-39.062,-21.973,-41.504,0.000
1621213922.484,-30.762,-41.504,-32.227,-41.016,0.000
1621213922.488,-34.668,-32.227,-33.691,-32.227,0.000
1621213922.491,-42.969,-27.832,-27.344,-39.551,0.000
1621213922.495,-51.758,-36.621,-28.809,-43.457,0.000
1621213922.499,-53.711,-40.527,-31.250,-41.016,0.000
1621213922.503,-31.250,-33.691,-32.715,-21.973,0.000
1621213922.507,-29.785,-32.227,-31.738,11.230,0.000
1621213922.511,-34.668,-37.598,-39.062,-45.898,0.000
1621213922.515,-38.574,-33.691,-43.457,-70.312,0.000
1621213922.519,-18.555,-29.785,-40.039,-28.809,0.000
1621213922.523,-14.648,-32.227,-41.504,-25.879,0.000
1621213922.527,-36.133,-36.621,-36.133,-33.203,0.000
1621213922.530,-34.180,-38.574,-26.367,-35.156,0.000
1621213922.534,-16.113,-34.180,-29.297,-25.391,0.000
1621213922.538,0.977,-33.691,-27.832,-12.207,0.000
1621213922.542,-9.277,-30.762,-25.391,-28.809,0.000
1621213922.546,-20.508,-29.297,-29.785,-44.434,0.000
1621213922.550,-8.301,-26.367,-29.297,-23.926,0.000
1621213922.554,-18.555,-19.531,-27.832,-3.418,0.000
1621213922.558,-39.551,-24.902,-24.414,-9.277,0.000
1621213922.562,-37.109,-25.879,-24.902,-10.254,0.000
1621213922.566,-29.297,-25.391,-27.832,-2.930,0.000
1621213922.570,-12.695,-27.832,-26.855,-13.184,0.000
1621213922.573,-1.465,-24.902,-30.762,-30.273,0.000
1621213922.577,-10.254,-23.438,-26.855,-26.855,0.000
1621213922.581,-29.785,-23.926,-28.809,-20.996,0.000
1621213922.585,-35.156,-29.297,-38.574,-10.742,0.000
1621213922.589,-14.648,-35.645,-22.949,21.484,0.000
1621213922.593,-40.039,-27.344,-20.508,-12.207,0.000
1621213922.597,-70.312,-14.648,-37.598,-71.289,0.000
1621213922.601,-64.453,-18.066,-43.457,-56.152,0.000
1621213922.605,-62.012,-21.484,-50.781,-73.730,0.000
1621213922.609,-70.312,-18.066,-56.152,-107.910,0.000
1621213922.613,-99.121,-15.625,-60.547,-120.605,0.000
1621213922.616,-98.633,-14.648,-63.965,-119.629,0.000
1621213922.620,-108.398,-9.277,-67.383,-108.887,0.000
1621213922.624,-119.629,-10.254,-76.172,-126.465,0.000
1621213922.628,-112.793,-16.113,-74.219,-139.648,0.000
1621213922.632,-112.793,-13.672,-70.312,-129.883,0.000
1621213922.636,-117.676,-13.184,-80.566,-116.699,0.000
1621213922.640,-109.375,-9.277,-88.867,-126.465,0.000
1621213922.644,-101.074,-7.324,-91.309,-155.273,0.000
1621213922.648,-96.680,-11.230,-84.473,-137.695,0.000
1621213922.652,-98.145,-11.719,-89.355,-117.188,0.000
1621213922.655,-87.891,-6.348,-98.633,-106.445,0.000
1621213922.659,-91.797,-5.859,-95.215,-100.098,0.000
1621213922.663,-91.309,-14.160,-88.379,-97.168,0.000
1621213922.667,-81.543,-19.531,-75.195,-74.707,0.000
1621213922.671,-71.777,-17.578,-72.754,-62.988,0.000
1621213922.675,-59.570,-21.973,-83.008,-66.406,0.000
1621213922.679,-62.012,-30.762,-85.449,-78.613,0.000
1621213922.683,-51.270,-28.320,-75.195,-70.312,0.000
1621213922.687,-43.457,-23.926,-66.895,-75.195,0.000
1621213922.691,-37.109,-21.973,-66.406,-82.031,0.000
1621213922.695,-28.809,-15.137,-75.195,-48.828,0.000
1621213922.698,-37.109,-23.438,-73.242,-40.039,0.000
1621213922.702,-40.039,-28.809,-54.688,-42.480,0.000
1621213922.706,-28.320,-22.461,-47.852,-50.781,0.000
1621213922.710,-20.508,-23.438,-47.363,-64.453,0.000
1621213922.714,-15.625,-21.484,-49.805,-50.293,0.000
1621213922.718,-22.949,-22.461,-51.270,-44.434,0.000
1621213922.722,-16.602,-28.809,-45.410,-50.293,0.000
1621213922.726,-8.301,-30.273,-43.945,-33.203,0.000
1621213922.730,-10.742,-26.855,-43.457,-32.227,0.000
1621213922.734,-13.672,-31.738,-43.945,-58.594,0.000
1621213922.738,-19.531,-26.855,-46.387,-30.273,0.000
1621213922.741,-15.625,-18.555,-50.781,-20.020,0.000
1621213922.745,2.441,-20.508,-47.852,-39.551,0.000
1621213922.749,-7.812,-22.461,-34.668,-21.973,0.000
1621213922.753,-29.785,-26.367,-35.645,-12.695,0.000
1621213922.757,-25.879,-26.367,-38.086,-37.598,0.000
1621213922.761,-19.043,-20.508,-38.574,-49.316,0.000
1621213922.765,-18.066,-15.625,-44.434,-39.551,0.000
1621213922.769,-25.391,-18.555,-41.992,-47.363,0.000
1621213922.773,-31.250,-27.832,-39.062,-43.457,0.000
1621213922.777,-31.250,-28.809,-42.969,-52.734,0.000
1621213922.780,-29.297,-30.273,-45.898,-52.246,0.000
1621213922.784,-35.156,-33.691,-46.387,-28.809,0.000
1621213922.788,-51.758,-29.785,-43.457,-44.922,0.000
1621213922.792,-40.527,-33.691,-33.691,-31.738,0.000
1621213922.796,-36.133,-29.785,-35.156,-29.785,0.000
1621213922.800,-54.688,-18.555,-44.434,-59.570,0.000
1621213922.804,-66.406,-18.066,-45.898,-47.363,0.000
1621213922.808,-51.758,-24.414,-47.363,-45.410,0.000
1621213922.812,-43.457,-30.762,-54.688,-62.988,0.000
1621213922.816,-53.711,-27.344,-60.059,-69.824,0.000
1621213922.820,-38.086,-12.207,-56.641,-46.875,0.000
1621213922.823,-34.668,-14.648,-56.152,-56.152,0.000
1621213922.827,-43.457,-20.996,-61.035,-67.871,0.000
1621213922.831,-50.781,-24.414,-58.105,-73.730,0.000
1621213922.835,-48.828,-34.180,-53.223,-55.664,0.000
1621213922.839,-46.875,-29.297,-50.781,-52.734,0.000
1621213922.843,-55.176,-26.367,-48.340,-61.035,0.000
1621213922.847,-51.758,-32.715,-51.270,-46.387,0.000
1621213922.851,-35.156,-32.715,-49.805,-56.152,0.000
1621213922.855,-35.156,-31.738,-47.363,-51.758,0.000
1621213922.859,-24.902,-31.738,-46.387,-22.949,0.000
1621213922.863,-17.578,-25.391,-47.852,-27.344,0.000
1621213922.866,-34.180,-22.461,-46.875,-64.941,0.000
1621213922.870,-32.715,-31.250,-39.551,-47.363,0.000
1621213922.874,-25.391,-28.809,-39.062,-38.086,0.000
1621213922.878,-7.324,-22.461,-41.504,-37.109,0.000
1621213922.882,-22.461,-24.414,-39.551,-44.922,0.000
1621213922.886,-26.367,-15.625,-45.898,-38.086,0.000
1621213922.890,-8.789,-12.695,-51.758,-50.293,0.000
1621213922.894,-10.254,-20.508,-49.316,-50.293,0.000
1621213922.898,-15.137,-27.832,-46.387,-31.250,0.000
1621213922.902,-24.414,-25.879,-38.086,-31.738,0.000
1621213922.905,-21.484,-24.902,-38.574,-20.020,0.000
1621213922.909,-17.090,-29.785,-49.316,-21.484,0.000
1621213922.913,-19.531,-27.832,-43.457,-4.883,0.000
1621213922.917,-21.973,-28.320,-32.227,-7.324,0.000
1621213922.921,-20.020,-28.809,-39.062,-38.086,0.000
1621213922.925,-30.762,-27.344,-42.969,-47.363,0.000
1621213922.929,-20.508,-30.273,-44.922,-22.949,0.000
1621213922.933,-23.438,-31.738,-43.945,-16.113,0.000
1621213922.937,-38.574,-29.785,-43.457,-27.344,0.000
1621213922.941,-36.621,-25.391,-42.969,-21.484,0.000
1621213922.945,-38.574,-24.902,-41.504,-41.016,0.000
1621213922.948,-41.016,-26.855,-41.016,-50.781,0.000
1621213922.952,-42.969,-29.785,-40.527,-26.367,0.000
1621213922.956,-36.133,-32.715,-31.250,-5.859,0.000
1621213922.960,-38.574,-32.715,-22.949,-31.738,0.000
1621213922.964,-36.621,-23.926,-24.902,-47.852,0.000
1621213922.968,-31.738,-14.648,-34.180,-41.016,0.000
1621213922.972,-39.062,-24.414,-33.203,-45.898,0.000
1621213922.976,-35.645,-37.598,-30.273,-36.133,0.000
1621213922.980,-31.250,-34.668,-33.691,-24.902,0.000
1621213922.984,-27.832,-29.785,-34.668,-20.020,0.000
1621213922.987,-24.414,-36.133,-34.668,-3.906,0.000
1621213922.991,-17.578,-37.109,-37.109,-12.207,0.000
1621213922.995,-22.461,-34.180,-39.062,-48.340,0.000
1621213922.999,-12.207,-30.273,-44.434,-36.621,0.000
1621213923.003,-11.230,-24.902,-42.969,3.906,0.000
1621213923.007,-43.457,-28.809,-24.414,-19.043,0.000
1621213923.011,-59.082,-31.250,-20.508,-57.617,0.000
1621213923.015,-48.828,-32.715,-17.578,-32.227,0.000
1621213923.019,-46.875,-33.691,-10.742,-32.227,0.000
1621213923.023,-60.547,-36.621,-23.438,-52.246,0.000
1621213923.027,-43.457,-41.992,-19.531,-43.457,0.000
1621213923.030,-44.434,-42.969,-4.883,-43.945,0.000
1621213923.034,-44.922,-45.410,-6.836,-22.461,0.000
1621213923.038,-29.785,-53.223,-6.348,-20.508,0.000
1621213923.042,-32.227,-43.945,-8.789,-39.062,0.000
1621213923.046,-28.320,-33.203,-10.742,-40.039,0.000
1621213923.050,-28.809,-37.109,-11.230,-29.785,0.000
1621213923.054,-22.461,-39.551,-14.648,-15.137,0.000
1621213923.058,-14.160,-41.992,-10.742,-18.066,0.000
1621213923.062,-33.203,-36.133,-5.371,-31.738,0.000
1621213923.066,-29.785,-30.762,-10.254,-37.109,0.000
1621213923.070,-8.789,-34.668,-17.090,-10.742,0.000
1621213923.073,-19.043,-33.203,-16.113,-14.648,0.000
1621213923.077,-47.363,-30.762,-13.672,-52.734,0.000
1621213923.081,-42.480,-33.691,-17.578,-30.762,0.000
1621213923.085,-15.137,-42.480,-16.113,-10.254,0.000
1621213923.089,-13.672,-37.598,-8.301,-16.602,0.000
1621213923.093,-24.414,-25.879,-14.648,-29.297,0.000
1621213923.097,-45.410,-29.297,-22.461,-25.391,0.000
1621213923.101,-45.898,-32.227,-25.879,-13.672,0.000
1621213923.105,-32.227,-38.574,-20.020,-18.555,0.000
1621213923.109,-28.809,-40.039,-17.090,-31.738,0.000
1621213923.112,-20.020,-33.691,-25.391,-18.555,0.000
1621213923.116,-19.043,-35.156,-21.484,-17.090,0.000
1621213923.120,-15.137,-33.691,-18.555,-27.344,0.000
1621213923.124,-20.996,-35.645,-19.043,-22.949,0.000
1621213923.128,-15.625,-39.062,-16.602,-14.648,0.000
1621213923.132,-19.531,-33.691,-18.555,-19.043,0.000
1621213923.136,-38.574,-29.785,-23.926,-31.738,0.000
1621213923.140,-34.668,-32.715,-20.508,-21.484,0.000
1621213923.144,-30.762,-45.410,-18.555,-22.949,0.000
1621213923.148,-36.133,-42.969,-18.555,-33.203,0.000
1621213923.152,-38.574,-31.738,-27.832,-36.621,0.000
1621213923.155,-48.340,-33.691,-31.250,-34.180,0.000
1621213923.159,-51.758,-40.527,-20.996,-18.066,0.000
1621213923.163,-38.574,-41.504,-23.926,-38.086,0.000
1621213923.167,-48.340,-38.086,-26.367,-54.199,0.000
1621213923.171,-31.250,-23.926,-31.250,-27.832,0.000
1621213923.175,-25.879,-22.949,-35.645,-40.039,0.000
1621213923.179,-57.129,-37.109,-21.973,-51.270,0.000
1621213923.183,-61.035,-36.621,-17.578,-40.039,0.000
1621213923.187,-35.156,-29.297,-27.344,-45.410,0.000
1621213923.191,-23.438,-31.738,-26.367,-59.570,0.000
1621213923.195,-33.691,-31.250,-23.926,-47.852,0.000
1621213923.198,-40.527,-30.762,-29.297,-44.434,0.000
1621213923.202,-50.781,-33.203,-26.367,-35.156,0.000
1621213923.206,-42.480,-22.949,-19.531,-38.086,0.000
1621213923.210,-41.016,-23.438,-18.066,-63.965,0.000
1621213923.214,-33.203,-35.156,-18.555,-52.734,0.000
1621213923.218,-54.199,-28.809,-23.438,-35.156,0.000
1621213923.222,-59.082,-33.691,-23.438,-43.457,0.000
1621213923.226,-17.090,-42.480,-16.113,-35.645,0.000
1621213923.230,-42.480,-39.062,-13.672,-46.387,0.000
1621213923.234,-76.660,-29.785,-25.391,-57.129,0.000
1621213923.237,-89.844,-40.039,-23.926,-37.109,0.000
1621213923.241,-26.367,-38.574,-17.578,-22.949,0.000
1621213923.245,-26.855,-33.691,-17.578,-46.875,0.000
1621213923.249,-37.598,-46.875,-3.418,-51.270,0.000
1621213923.253,-15.625,-39.551,-0.488,-20.996,0.000
1621213923.257,-7.324,-43.457,-6.348,-26.367,0.000
1621213923.261,-19.531,-44.922,-4.883,-43.945,0.000
1621213923.265,-47.852,-35.645,-5.859,-19.531,0.000
1621213923.269,-48.340,-31.738,-9.277,-23.926,0.000
1621213923.273,-31.738,-32.227,-12.695,-27.344,0.000
1621213923.277,-30.273,-28.320,-10.742,-12.207,0.000
1621213923.280,-24.414,-36.621,-12.207,-4.883,0.000
1621213923.284,-12.695,-34.180,-17.090,-5.859,0.000
1621213923.288,-9.766,-27.832,-11.230,-19.043,0.000
1621213923.292,-30.762,-38.574,-7.324,-31.738,0.000
1621213923.296,-63.477,-37.598,-7.812,-25.879,0.000
1621213923.300,-57.129,-33.691,-9.277,-28.320,0.000
1621213923.304,-15.137,-39.551,-2.930,-9.277,0.000
1621213923.308,-17.090,-38.574,-10.742,-5.371,0.000
1621213923.312,-41.504,-34.668,-16.602,-40.527,0.000
1621213923.316,-30.273,-32.715,-10.742,-37.598,0.000
1621213923.319,-8.789,-29.297,-16.113,-23.438,0.000
1621213923.323,-21.973,-22.949,-19.043,-29.785,0.000
1621213923.327,-30.762,-28.320,-22.461,-35.645,0.000
1621213923.331,-19.043,-31.250,-28.809,-36.621,0.000
1621213923.335,-16.602,-20.508,-21.973,-17.090,0.000
1621213923.339,-18.066,-20.996,-20.508,-20.996,0.000
1621213923.343,-24.902,-31.250,-20.996,-33.691,0.000
1621213923.347,-17.578,-22.949,-19.531,-27.832,0.000
1621213923.351,-13.184,-25.391,-15.625,-16.113,0.000
1621213923.355,-14.160,-30.762,-19.531,-19.043,0.000
1621213923.359,-29.785,-27.832,-25.879,-48.340,0.000
1621213923.362,-31.738,-31.738,-35.645,-48.340,0.000
1621213923.366,-35.645,-37.109,-38.086,-41.504,0.000
1621213923.370,-54.688,-39.062,-27.344,-52.246,0.000
1621213923.374,-40.039,-31.738,-31.250,-53.223,0.000
1621213923.378,-38.574,-27.832,-35.645,-49.316,0.000
1621213923.382,-39.551,-31.738,-32.227,-61.523,0.000
1621213923.386,-33.203,-36.133,-25.879,-52.246,0.000
