timestamps,TP9,AF7,AF8,TP10,Right AUX
1621213165.860,3.418,-29.785,-23.926,1.465,0.000
1621213165.864,0.488,-29.297,-32.715,-9.277,0.000
1621213165.868,17.090,-17.578,-33.691,-1.465,0.000
1621213165.872,16.113,-13.184,-21.973,13.184,0.000
1621213165.875,-4.395,-22.461,-19.043,5.371,0.000
1621213165.879,-9.766,-26.855,-25.391,-2.441,0.000
1621213165.883,-0.977,-17.090,-26.367,18.066,0.000
1621213165.887,10.254,-20.020,-22.461,11.719,0.000
1621213165.891,1.465,-36.621,-24.414,-9.277,0.000
1621213165.895,1.953,-36.133,-24.414,6.836,0.000
1621213165.899,19.531,-28.320,-20.020,19.043,0.000
1621213165.903,24.902,-21.484,-22.949,20.020,0.000
1621213165.907,14.648,-23.926,-26.367,9.277,0.000
1621213165.911,0.977,-37.109,-25.391,-3.906,0.000
1621213165.914,6.836,-38.086,-27.344,5.859,0.000
1621213165.918,8.301,-27.344,-25.879,2.930,0.000
1621213165.922,-4.395,-29.297,-27.832,-12.695,0.000
1621213165.926,-6.836,-28.320,-34.180,-5.371,0.000
1621213165.930,-8.301,-23.438,-31.738,-3.418,0.000
1621213165.934,-10.742,-28.320,-29.297,-19.043,0.000
1621213165.938,-8.789,-32.715,-33.203,-15.137,0.000
1621213165.942,-8.301,-33.203,-39.551,-2.930,0.000
1621213165.946,-1.465,-28.320,-38.086,-5.371,0.000
1621213165.950,-1.953,-25.391,-34.180,-9.277,0.000
1621213165.954,-13.184,-26.855,-31.738,-10.742,0.000
1621213165.957,-12.207,-31.738,-36.621,-17.090,0.000
1621213165.961,-5.859,-31.250,-39.551,-13.672,0.000
1621213165.965,-2.930,-20.996,-43.945,-1.465,0.000
1621213165.969,-6.348,-22.461,-45.410,-6.836,0.000
1621213165.973,-16.113,-29.297,-43.945,-11.719,0.000
1621213165.977,-6.348,-21.484,-43.457,-11.230,0.000
1621213165.981,2.930,-20.996,-36.133,-0.977,0.000
1621213165.985,4.883,-25.391,-31.738,12.695,0.000
