timestamps,TP9,AF7,AF8,TP10,Right AUX
1621213375.639,-1.465,0.488,-115.234,-48.340,0.000
1621213375.643,18.555,4.395,-110.840,-43.945,0.000
1621213375.647,15.137,3.906,-112.793,-42.480,0.000
1621213375.650,31.250,-4.395,-117.676,-34.180,0.000
1621213375.654,29.785,9.277,-102.539,-26.367,0.000
1621213375.658,21.973,22.949,-102.051,-30.762,0.000
1621213375.662,25.391,13.184,-118.164,-24.414,0.000
1621213375.666,32.227,-0.488,-112.793,-25.391,0.000
1621213375.670,33.691,12.695,-110.352,-20.508,0.000
1621213375.674,28.320,8.789,-115.723,-8.301,0.000
1621213375.678,28.320,4.395,-116.699,-19.043,0.000
1621213375.682,20.508,17.578,-105.957,-9.766,0.000
1621213375.686,25.391,15.137,-100.586,-10.742,0.000
1621213375.690,32.227,16.113,-103.516,-20.508,0.000
1621213375.693,26.367,16.602,-96.680,-6.348,0.000
1621213375.697,35.645,16.113,-97.656,-1.953,0.000
1621213375.701,43.945,15.625,-101.562,-0.488,0.000
1621213375.705,41.992,6.348,-92.285,0.488,0.000
1621213375.709,59.082,14.160,-92.285,-5.859,0.000
1621213375.713,67.871,24.414,-95.215,1.465,0.000
1621213375.717,51.270,11.230,-92.285,13.672,0.000
1621213375.721,46.875,-7.324,-80.078,16.602,0.000
1621213375.725,51.758,12.207,-72.754,21.484,0.000
1621213375.729,53.711,17.578,-74.707,22.949,0.000
1621213375.732,68.359,-3.418,-77.637,24.902,0.000
1621213375.736,68.848,4.395,-73.730,21.484,0.000
1621213375.740,45.410,8.789,-72.754,10.742,0.000
1621213375.744,48.340,6.836,-77.148,5.859,0.000
1621213375.748,57.129,11.719,-75.195,10.254,0.000
1621213375.752,56.152,7.324,-67.383,17.090,0.000
1621213375.756,51.270,6.836,-52.734,19.043,0.000
1621213375.760,54.688,-4.395,-55.664,27.344,0.000
1621213375.764,58.105,-11.719,-61.523,38.086,0.000
1621213375.768,49.316,15.137,-60.547,20.996,0.000
1621213375.772,57.617,3.906,-59.082,10.742,0.000
1621213375.775,57.129,-10.742,-59.570,5.371,0.000
1621213375.779,41.504,16.602,-63.477,-3.906,0.000
1621213375.783,43.945,15.625,-61.523,8.301,0.000
1621213375.787,49.805,-1.465,-59.082,18.066,0.000
1621213375.791,44.922,2.930,-70.312,11.719,0.000
1621213375.795,42.480,-4.395,-63.965,13.672,0.000
1621213375.799,49.316,-10.254,-48.828,23.438,0.000
1621213375.803,61.523,-1.953,-55.176,17.090,0.000
1621213375.807,53.711,-1.465,-49.316,19.531,0.000
1621213375.811,52.734,-14.160,-42.969,18.066,0.000
1621213375.815,62.500,-9.766,-48.340,9.277,0.000
1621213375.818,44.434,-1.953,-53.223,6.348,0.000
1621213375.822,37.109,-20.996,-50.781,6.348,0.000
1621213375.826,49.805,-24.414,-45.410,8.301,0.000
1621213375.830,34.668,-14.160,-44.922,15.137,0.000
1621213375.834,14.648,-6.836,-53.223,3.418,0.000
1621213375.838,30.273,-3.418,-49.805,17.090,0.000
1621213375.842,31.738,-6.836,-46.387,11.719,0.000
1621213375.846,24.902,-10.254,-54.199,-5.859,0.000
1621213375.850,22.461,-8.789,-51.270,3.418,0.000
1621213375.854,19.531,-12.207,-50.293,-8.301,0.000
1621213375.857,24.902,-14.648,-50.293,-2.441,0.000
1621213375.861,22.949,-13.184,-43.945,1.953,0.000
1621213375.865,21.973,-12.207,-42.480,-11.230,0.000
1621213375.869,25.879,-13.672,-47.363,-1.465,0.000
1621213375.873,37.109,-16.113,-46.875,4.883,0.000
1621213375.877,25.879,-18.555,-53.711,7.812,0.000
1621213375.881,14.648,-16.113,-58.594,8.789,0.000
1621213375.885,22.949,-6.836,-46.875,-2.930,0.000
1621213375.889,30.762,-16.113,-44.922,4.883,0.000
1621213375.893,38.574,-12.695,-42.969,3.418,0.000
1621213375.897,23.926,-10.254,-38.086,2.441,0.000
1621213375.900,18.555,-18.066,-33.691,9.277,0.000
1621213375.904,19.043,-15.137,-34.180,14.160,0.000
1621213375.908,10.742,-20.020,-34.180,17.578,0.000
1621213375.912,6.836,-13.184,-35.645,1.953,0.000
1621213375.916,22.949,1.465,-33.691,-1.465,0.000
1621213375.920,24.414,-6.348,-35.645,3.906,0.000
1621213375.924,2.441,-26.367,-45.410,8.789,0.000
1621213375.928,5.371,-28.320,-45.410,6.348,0.000
1621213375.932,-5.859,-25.391,-43.457,-18.066,0.000
1621213375.936,-16.602,-21.973,-45.898,-19.531,0.000
1621213375.940,-6.836,-27.832,-44.434,0.488,0.000
1621213375.943,-0.977,-35.645,-40.039,5.859,0.000
1621213375.947,-6.348,-26.367,-42.480,-7.812,0.000
1621213375.951,-4.883,-18.066,-45.898,-6.836,0.000
1621213375.955,8.789,-21.484,-43.457,-5.859,0.000
1621213375.959,-2.930,-30.273,-45.898,-2.441,0.000
1621213375.963,-20.996,-25.879,-41.016,7.812,0.000
1621213375.967,0.000,-17.090,-40.527,6.836,0.000
1621213375.971,-2.930,-29.297,-41.504,1.953,0.000
1621213375.975,-9.277,-22.461,-47.363,-4.395,0.000
1621213375.979,-0.488,-19.043,-55.176,-3.418,0.000
1621213375.982,-2.930,-25.391,-47.852,-11.230,0.000
1621213375.986,-11.230,-20.020,-49.805,-10.742,0.000
1621213375.990,-11.719,-21.484,-52.734,-5.371,0.000
1621213375.994,-0.977,-33.203,-47.363,-4.395,0.000
1621213375.998,1.465,-30.273,-54.688,-5.859,0.000
1621213376.002,-1.465,-23.438,-60.547,-5.371,0.000
1621213376.006,2.441,-27.832,-62.012,4.395,0.000
1621213376.010,-8.301,-16.602,-64.453,-8.301,0.000
1621213376.014,-31.738,-7.324,-61.523,-24.414,0.000
1621213376.018,-28.809,-8.789,-57.617,-34.668,0.000
1621213376.022,-1.465,-19.531,-57.129,-26.855,0.000
1621213376.025,11.230,-28.320,-53.711,1.953,0.000
1621213376.029,-6.836,-27.832,-57.617,-8.789,0.000
1621213376.033,-24.902,-26.855,-59.570,-25.879,0.000
1621213376.037,-20.996,-27.832,-62.988,-20.996,0.000
1621213376.041,-10.254,-38.086,-61.523,-5.859,0.000
1621213376.045,-12.695,-34.180,-44.434,-9.277,0.000
1621213376.049,1.465,-15.137,-48.828,-23.926,0.000
1621213376.053,-2.441,-13.672,-51.270,-6.836,0.000
1621213376.057,-7.324,-25.879,-48.828,4.883,0.000
1621213376.061,-2.930,-21.484,-47.363,-6.348,0.000
1621213376.065,-2.441,-19.531,-42.969,5.371,0.000
1621213376.068,1.465,-19.043,-39.551,5.371,0.000
1621213376.072,-8.789,-21.484,-36.133,-5.859,0.000
1621213376.076,1.465,-25.391,-39.551,2.441,0.000
1621213376.080,-10.254,-25.879,-40.527,0.000,0.000
1621213376.084,-20.020,-32.715,-41.504,-12.695,0.000
1621213376.088,-8.789,-35.645,-44.434,-4.395,0.000
1621213376.092,-20.996,-40.039,-43.457,9.277,0.000
1621213376.096,-10.254,-26.367,-46.387,7.324,0.000
1621213376.100,-3.418,-28.809,-49.316,-10.254,0.000
1621213376.104,-14.648,-46.875,-50.293,-20.020,0.000
1621213376.107,-13.184,-21.973,-45.410,-1.465,0.000
1621213376.111,-14.648,-13.672,-39.551,2.930,0.000
1621213376.115,0.488,-24.414,-45.410,-2.930,0.000
1621213376.119,6.836,-28.809,-54.199,3.418,0.000
1621213376.123,0.488,-33.691,-50.293,-1.953,0.000
1621213376.127,4.883,-31.738,-43.457,-0.488,0.000
1621213376.131,-6.836,-27.344,-43.457,4.395,0.000
1621213376.135,-5.371,-32.715,-41.504,-5.371,0.000
1621213376.139,-1.465,-44.434,-36.621,6.348,0.000
1621213376.143,-5.859,-38.086,-34.180,19.043,0.000
1621213376.147,5.371,-25.879,-31.250,13.672,0.000
1621213376.150,26.855,-26.367,-29.785,23.926,0.000
1621213376.154,11.230,-25.391,-37.109,19.531,0.000
1621213376.158,-1.465,-14.160,-36.133,-2.441,0.000
1621213376.162,6.348,-21.484,-31.250,-0.977,0.000
1621213376.166,14.160,-22.949,-35.156,2.930,0.000
1621213376.170,10.254,-22.949,-35.156,5.371,0.000
