timestamps,TP9,AF7,AF8,TP10,Right AUX
1621213630.311,-25.879,-21.973,-30.762,-26.367,0.000
1621213630.315,-26.855,-30.273,-29.785,-21.973,0.000
1621213630.319,-26.367,-36.621,-33.691,-20.020,0.000
1621213630.323,-31.250,-43.945,-38.574,-34.668,0.000
1621213630.327,-35.645,-36.621,-35.645,-47.852,0.000
1621213630.331,-27.344,-28.809,-32.715,-43.457,0.000
1621213630.334,-24.902,-35.156,-37.598,-27.344,0.000
1621213630.338,-34.668,-38.086,-37.598,-31.738,0.000
1621213630.342,-21.484,-36.621,-35.156,-45.410,0.000
1621213630.346,-12.207,-26.367,-36.133,-26.855,0.000
1621213630.350,-22.461,-21.973,-35.156,-20.020,0.000
1621213630.354,-26.367,-30.273,-31.738,-30.273,0.000
1621213630.358,-21.973,-28.809,-30.273,-29.297,0.000
1621213630.362,-19.531,-28.320,-37.109,-30.762,0.000
1621213630.366,-20.996,-31.738,-42.480,-32.715,0.000
1621213630.370,-24.414,-34.668,-41.016,-32.227,0.000
1621213630.373,-26.855,-34.180,-40.527,-31.738,0.000
1621213630.377,-24.902,-31.250,-44.434,-32.715,0.000
1621213630.381,-24.902,-32.227,-44.434,-33.203,0.000
1621213630.385,-30.273,-28.320,-44.922,-23.926,0.000
1621213630.389,-25.879,-38.086,-41.504,-28.320,0.000
1621213630.393,-35.156,-45.410,-45.410,-35.156,0.000
1621213630.397,-34.668,-28.320,-46.875,-29.297,0.000
1621213630.401,-30.273,-33.691,-39.062,-23.438,0.000
1621213630.405,-35.645,-33.691,-41.016,-21.484,0.000
1621213630.409,-34.180,-32.715,-35.645,-22.949,0.000
1621213630.413,-35.645,-40.039,-32.227,-14.648,0.000
1621213630.417,-41.016,-37.598,-38.574,-18.066,0.000
1621213630.420,-37.109,-27.344,-40.039,-29.785,0.000
1621213630.424,-31.738,-30.762,-37.109,-31.250,0.000
1621213630.428,-42.480,-38.574,-37.109,-27.832,0.000
1621213630.432,-40.039,-42.969,-36.133,-28.809,0.000
1621213630.436,-27.344,-52.734,-38.086,-23.926,0.000
1621213630.440,-34.668,-45.410,-44.434,-22.461,0.000
1621213630.444,-44.434,-39.062,-45.410,-33.203,0.000
1621213630.448,-39.062,-46.875,-44.922,-41.992,0.000
1621213630.452,-31.738,-43.945,-38.574,-31.738,0.000
1621213630.456,-33.203,-34.180,-35.156,-28.809,0.000
1621213630.460,-30.273,-41.016,-45.898,-37.109,0.000
1621213630.463,-27.344,-48.340,-47.363,-37.598,0.000
1621213630.467,-35.156,-36.621,-37.598,-29.785,0.000
1621213630.471,-35.645,-38.574,-33.691,-22.461,0.000
1621213630.475,-35.645,-41.016,-31.738,-25.879,0.000
1621213630.479,-32.715,-25.391,-27.344,-25.391,0.000
1621213630.483,-30.273,-22.949,-27.344,-19.043,0.000
1621213630.487,-27.344,-29.297,-30.273,-13.672,0.000
1621213630.491,-27.832,-33.691,-33.203,-24.902,0.000
1621213630.495,-35.645,-31.738,-34.180,-29.297,0.000
1621213630.499,-34.668,-27.344,-31.738,-28.809,0.000
1621213630.503,-20.996,-23.438,-33.691,-33.691,0.000
1621213630.506,-13.184,-29.297,-33.203,-32.715,0.000
1621213630.510,-15.625,-24.414,-26.367,-34.668,0.000
1621213630.514,-20.508,-27.832,-31.738,-44.434,0.000
1621213630.518,-14.648,-33.691,-35.645,-34.180,0.000
1621213630.522,-5.859,-22.949,-33.691,-17.578,0.000
1621213630.526,-16.113,-30.273,-34.180,-20.996,0.000
1621213630.530,-21.484,-28.320,-41.016,-25.879,0.000
1621213630.534,-18.555,-21.484,-42.480,-28.320,0.000
1621213630.538,-19.531,-33.203,-37.109,-27.344,0.000
1621213630.541,-24.414,-35.156,-41.992,-32.227,0.000
1621213630.545,-33.203,-30.273,-41.016,-39.062,0.000
1621213630.549,-34.180,-28.809,-31.250,-24.902,0.000
1621213630.553,-31.738,-26.855,-29.297,-21.484,0.000
1621213630.557,-24.902,-37.598,-35.645,-27.832,0.000
1621213630.561,-13.672,-29.785,-33.203,-15.625,0.000
1621213630.565,-23.926,-26.855,-31.738,-5.859,0.000
1621213630.569,-31.250,-31.738,-34.180,-14.160,0.000
1621213630.573,-20.996,-37.598,-33.203,-13.672,0.000
1621213630.577,-22.461,-35.645,-39.062,-11.230,0.000
1621213630.581,-27.832,-30.273,-40.527,-20.020,0.000
1621213630.584,-18.555,-34.668,-38.086,-17.090,0.000
1621213630.588,-15.137,-30.762,-36.133,-14.648,0.000
